Study_ID,scientificName,Common_name,redlistCategory,Synonyms_or_previous_lump,Rodent_attributed_IUCN,Article,Article_secondary_same_data,Study_type,Study_rodent,Study_location,Latitude,Longitude,Description,Site,Predator_units,Prey_error_type,Prey_error_source,Prey_units,Abundance_reproduction,Sample_type,Source,Original_study_design_effect_type,Prey_mean_Rats_Absent,Prey_mean_Rats_Present,Prey_error_Rats_Absent,Prey_error_Rats_Present,Number_of_samples_Rats_Absent,Number_of_samples_Rats_Present,Number_of_years_Rats_Absent,Number_of_years_Rats_Present,Number_of_sites_Rats_Absent,Number_of_sites_Rats_Present,Sample_size_overall_Rats_Absent,Sample_size_overall_Rats_Present,Comparison_notes,Long_term,Effect_size_conversion,cv_rats_absent,cv_rats_present,effect_size,sampling_variance,effect_size_type,analysis_group,Time,Hypothesis_supported_when,Question,Rat_Absent.Prey_Neg,Rat_Absent.Prey_Pos,Rat_Present.Prey_Neg,Rat_Present.Prey_Pos,correlation_id,n,r,effect_size_id
study_45,Charadrius obscurus,Southern Red-breasted Plover,Critically Endangered,N/A,Rattus,"Wills, D.E., 2003. Impact of management on the breeding success of the northern New Zealand Dotterel (Charadrius obscurus aquilonius) on Matakana Island, Bay of Plenty. Notornis, 50, pp.1-10.",N/A,Temporal,Rattus norvegicus,Matakana Island,-37.5832,176.0428,,,Capture rate,,,Incubation success,Reproduction,,,ZCOR,,,,,,,,,,,,,,0,,,,-0.314582139983111,0.2,ZCOR,Short-term reproduction,,Negative,,,,,,study_45 10,8,-0.304599882142283,39
study_46,Charadrius obscurus,Southern Red-breasted Plover,Critically Endangered,N/A,Rattus,"Wills, D.E., 2003. Impact of management on the breeding success of the northern New Zealand Dotterel (Charadrius obscurus aquilonius) on Matakana Island, Bay of Plenty. Notornis, 50, pp.1-10.",N/A,Temporal,Rattus norvegicus,Matakana Island,-37.5832,176.0428,,,Capture rate,,,Mean number of chicks fledged per breeding pair,Reproduction,,,ZCOR,,,,,,,,,,,,,,0,,,,-0.0307672171333365,0.2,ZCOR,Short-term reproduction,,Negative,,,,,,study_46 11,8,-0.0307575125033475,40
study_47,Callaeas cinereus,South Island Kokako,Critically Endangered,N/A,Rattus rattus,"Innes, J., Hay, R., Flux, I., Bradfield, P., Speed, H. and Jansen, P., 1999. Successful recovery of North Island kokako Callaeas cinerea wilsoni populations, by adaptive management. Biological conservation, 87(2), pp.201-214.",N/A,Spatiotemporal,Rattus rattus,"Mapara, Rotoehu and Kaharoa",-38.535,175.238,,Mapara,% tunnels with rat footprints,,,Percent pairs fledging young,Reproduction,,,ZCOR,,,,,,,,,,,,,,0,,,,-0.396763702725371,0.2,ZCOR,Short-term reproduction,,Negative,,,,,,study_47 7,8,-0.377176461318929,41
study_47,Callaeas cinereus,South Island Kokako,Critically Endangered,N/A,Rattus rattus,"Innes, J., Hay, R., Flux, I., Bradfield, P., Speed, H. and Jansen, P., 1999. Successful recovery of North Island kokako Callaeas cinerea wilsoni populations, by adaptive management. Biological conservation, 87(2), pp.201-214.",N/A,Spatiotemporal,Rattus rattus,"Mapara, Rotoehu and Kaharoa",-38.535,175.238,,Rotoehu,% tunnels with rat footprints,,,Percent pairs fledging young,Reproduction,,,ZCOR,,,,,,,,,,,,,,0,,,,0.761416323082147,0.25,ZCOR,Short-term reproduction,,Negative,,,,,,study_47 8,7,0.641910446935228,42
study_47,Callaeas cinereus,South Island Kokako,Critically Endangered,N/A,Rattus rattus,"Innes, J., Hay, R., Flux, I., Bradfield, P., Speed, H. and Jansen, P., 1999. Successful recovery of North Island kokako Callaeas cinerea wilsoni populations, by adaptive management. Biological conservation, 87(2), pp.201-214.",N/A,Spatiotemporal,Rattus rattus,"Mapara, Rotoehu and Kaharoa",-38.535,175.238,,Kaharoa,% tunnels with rat footprints,,,Percent pairs fledging young,Reproduction,,,ZCOR,,,,,,,,,,,,,,0,,,,0.827989678734688,0.25,ZCOR,Short-term reproduction,,Negative,,,,,,study_47 9,7,0.679395082052857,43
study_49,Callaeas cinereus,South Island Kokako,Critically Endangered,N/A,Rattus rattus,"Innes, J., Hay, R., Flux, I., Bradfield, P., Speed, H. and Jansen, P., 1999. Successful recovery of North Island kokako Callaeas cinerea wilsoni populations, by adaptive management. Biological conservation, 87(2), pp.201-214.",N/A,Spatiotemporal,Rattus rattus,"Mapara, Rotoehu and Kaharoa",-38.535,175.238,,Mapara,% tunnels with rat footprints,,,Number of territorial pairs,Abundance,,,ZCOR,,,,,,,,,,,,,,0,,,,-0.74799411612327,0.25,ZCOR,Short-term abundance,,Negative,,,,,,study_49 10,7,-0.633950745582935,44
study_49,Callaeas cinereus,South Island Kokako,Critically Endangered,N/A,Rattus rattus,"Innes, J., Hay, R., Flux, I., Bradfield, P., Speed, H. and Jansen, P., 1999. Successful recovery of North Island kokako Callaeas cinerea wilsoni populations, by adaptive management. Biological conservation, 87(2), pp.201-214.",N/A,Spatiotemporal,Rattus rattus,"Mapara, Rotoehu and Kaharoa",-38.535,175.238,,Rotoehu,% tunnels with rat footprints,,,Number of territorial pairs,Abundance,,,ZCOR,,,,,,,,,,,,,,0,,,,-0.0973719745388999,0.25,ZCOR,Short-term abundance,,Negative,,,,,,study_49 11,7,-0.097065399498239,45
study_49,Callaeas cinereus,South Island Kokako,Critically Endangered,N/A,Rattus rattus,"Innes, J., Hay, R., Flux, I., Bradfield, P., Speed, H. and Jansen, P., 1999. Successful recovery of North Island kokako Callaeas cinerea wilsoni populations, by adaptive management. Biological conservation, 87(2), pp.201-214.",N/A,Spatiotemporal,Rattus rattus,"Mapara, Rotoehu and Kaharoa",-38.535,175.238,,Kaharoa,% tunnels with rat footprints,,,Number of territorial pairs,Abundance,,,ZCOR,,,,,,,,,,,,,,0,,,,1.40454895103835,0.25,ZCOR,Short-term abundance,,Negative,,,,,,study_49 12,7,0.88633096428178,46
study_50,Pterodroma madeira,Zino's Petrel,Endangered,N/A,Rattus rattus,"Zino, F., Oliveira, P., King, S., Buckle, A., Biscoito, M., Neves, H.C. and Vasconcelos, A., 2001. Conservation of Zino's petrel Pterodroma madeira in the archipelago of Madeira. Oryx, 35(2), pp.128-136.",N/A,Temporal,Rattus rattus,Madeira,32.7607,-16.9595,,,Rodenticide uptake,,,Productivity (chicks fledged per pair),Reproduction,,,ZCOR,,,,,,,,,,,,,,0,,,,-0.264218032710498,0.166666666666667,ZCOR,Short-term reproduction,,Negative,,,,,,study_50 12,9,-0.258236550500207,47
study_54,Mohoua ochrocephala,Yellowhead,Near Threatened,N/A,Rattus rattus,"Tilson, J. (2024) Breeding success and survival of mohua at Makarora during the 2023 rat plague, and implications for future management. Southern Lakes Sanctuary","Whitmore, N. (2021) An analysis of Makarora Mohua encounter rate 2011 -2020. Unpublished report for Central Otago Lakes Branch of Forest & Bird.; Whitmore, N. (2023a) An analysis of Mohua encounter rates at five South Island sites. Report for Department of Conservation.; Whitmore, N. (2023b) An analysis of Mohua encounter rates at Makarora 2011 – 2022. Southern Lakes Sanctuary unpublished report.",Temporal,Rattus rattus,Makarora,-44.2319,169.2313,,,Tracking index,,,Encounter rate,Abundance,,,ZCOR,,,,,,,,,,,,,,0,,,,-0.048654127097454,0.1,ZCOR,Short-term abundance,,Negative,,,,,,study_54 13,13,-0.0486157716749192,48
