scientificName,Rodent_attributed_final,Lethal_program_in_support,None,Not_in_support,Population_with_data_in_support,Population_without_data_in_support,Population_with_all_qualities_in_support,Predation_in_support,synth_col
Geospiza psittacula,Rattus norvegicus,0,1,0,0,0,0,0,No studies found
Geospiza psittacula,Rattus rattus,0,1,0,0,0,0,0,No studies found
Gerygone insularis,All rodents,0,0,0,0,1,0,0,Population study without data in support
Gerygone insularis,Rattus rattus,0,0,0,0,1,0,0,Population study without data in support
Gymnomyza aubryana,All rodents,0,1,0,0,0,0,0,No studies found
Gymnomyza aubryana,Rattus exulans,0,1,0,0,0,0,0,No studies found
Gymnomyza aubryana,Rattus norvegicus,0,1,0,0,0,0,0,No studies found
Gymnomyza aubryana,Rattus rattus,0,1,0,0,0,0,0,No studies found
Gymnomyza samoensis,All rodents,0,1,0,0,0,0,0,No studies found
Gymnomyza samoensis,Rattus exulans,0,1,0,0,0,0,0,No studies found
Haematopus meadewaldoi,All rodents,0,1,0,0,0,0,0,No studies found
Haematopus meadewaldoi,Rattus norvegicus,0,1,0,0,0,0,0,No studies found
Haematopus meadewaldoi,Rattus rattus,0,1,0,0,0,0,0,No studies found
Hemignathus lucidus,All rodents,0,0,0,0,1,0,0,Population study without data in support
Hemignathus lucidus,Rattus rattus,0,0,0,0,1,0,0,Population study without data in support
Hemignathus wilsoni,All rodents,0,1,0,0,0,0,0,No studies found
Hemignathus wilsoni,Rattus exulans,0,1,0,0,0,0,0,No studies found
Hemignathus wilsoni,Rattus norvegicus,0,1,0,0,0,0,0,No studies found
Hemignathus wilsoni,Rattus rattus,0,1,0,0,0,0,0,No studies found
Hemiphaga chathamensis,All rodents,0,1,0,0,0,0,0,No studies found
Hemiphaga chathamensis,Rattus exulans,0,1,0,0,0,0,0,No studies found
Hemiphaga chathamensis,Rattus norvegicus,0,1,0,0,0,0,0,No studies found
Hemiphaga chathamensis,Rattus rattus,0,1,0,0,0,0,0,No studies found
Himantopus novaezelandiae,All rodents,0,1,0,0,0,0,0,No studies found
Himantopus novaezelandiae,Rattus norvegicus,0,1,0,0,0,0,0,No studies found
Horornis haddeni,All rodents,0,1,0,0,0,0,0,No studies found
Horornis haddeni,Rattus rattus,0,1,0,0,0,0,0,No studies found
Humblotia flavirostris,All rodents,0,1,0,0,0,0,0,No studies found
Humblotia flavirostris,Rattus rattus,0,1,0,0,0,0,0,No studies found
Hydrobates cheimomnestes,All rodents,0,1,0,0,0,0,0,No studies found
Hydrobates cheimomnestes,Mus musculus,0,1,0,0,0,0,0,No studies found
Hydrobates homochroa,All rodents,0,0,0,0,1,0,1,Population study without data in support
Hydrobates homochroa,Mus musculus,0,0,0,0,0,0,1,Only predation in support
Hydrobates homochroa,Rattus rattus,0,0,0,0,1,0,0,Population study without data in support
Hydrobates leucorhous,All rodents,0,1,0,0,0,0,0,No studies found
Hydrobates leucorhous,Mus musculus,0,1,0,0,0,0,0,No studies found
Hydrobates leucorhous,Rattus norvegicus,0,1,0,0,0,0,0,No studies found
Hydrobates leucorhous,Rattus rattus,0,1,0,0,0,0,0,No studies found
Hydrobates matsudairae,All rodents,0,1,0,0,0,0,0,No studies found
Hydrobates matsudairae,Rattus rattus,0,1,0,0,0,0,0,No studies found
Hydrobates monorhis,All rodents,0,1,0,0,0,0,0,No studies found
Hydrobates monorhis,Rattus norvegicus,0,1,0,0,0,0,0,No studies found
Hydrobates socorroensis,All rodents,0,1,0,0,0,0,0,No studies found
Hydrobates socorroensis,Mus musculus,0,1,0,0,0,0,0,No studies found
Hymenolaimus malacorhynchos,All rodents,0,0,3,0,0,0,0,All studies are not in support
Hymenolaimus malacorhynchos,Rattus exulans,0,0,1,0,0,0,0,All studies are not in support
Hymenolaimus malacorhynchos,Rattus norvegicus,0,0,1,0,0,0,0,All studies are not in support
Hymenolaimus malacorhynchos,Rattus rattus,0,0,1,0,0,0,0,All studies are not in support
Hypotaenidia dieffenbachii,All rodents,0,1,0,0,0,0,0,No studies found
Hypotaenidia dieffenbachii,Rattus exulans,0,1,0,0,0,0,0,No studies found
Hypotaenidia dieffenbachii,Rattus norvegicus,0,1,0,0,0,0,0,No studies found
Hypotaenidia dieffenbachii,Rattus rattus,0,1,0,0,0,0,0,No studies found
Hypotaenidia pacifica,All rodents,0,1,0,0,0,0,0,No studies found
Hypotaenidia pacifica,Rattus exulans,0,1,0,0,0,0,0,No studies found
Hypotaenidia pacifica,Rattus norvegicus,0,1,0,0,0,0,0,No studies found
Hypotaenidia pacifica,Rattus rattus,0,1,0,0,0,0,0,No studies found
Hypsipetes borbonicus,All rodents,0,1,0,0,0,0,0,No studies found
Hypsipetes borbonicus,Rattus rattus,0,1,0,0,0,0,0,No studies found
Hypsipetes olivaceus,All rodents,0,1,0,0,0,0,0,No studies found
Hypsipetes olivaceus,Rattus norvegicus,0,1,0,0,0,0,0,No studies found
Hypsipetes olivaceus,Rattus rattus,0,1,0,0,0,0,0,No studies found
Icterus northropi,All rodents,0,1,0,0,0,0,0,No studies found
Icterus northropi,Rattus rattus,0,1,0,0,0,0,0,No studies found
Icterus oberi,All rodents,0,0,0,0,0,0,2,Only predation in support
Icterus oberi,Rattus norvegicus,0,0,0,0,0,0,1,Only predation in support
Icterus oberi,Rattus rattus,0,0,0,0,0,0,1,Only predation in support
Lalage newtoni,All rodents,0,0,0,0,0,0,2,Only predation in support
Lalage newtoni,Rattus norvegicus,0,0,0,0,0,0,1,Only predation in support
Lalage newtoni,Rattus rattus,0,0,0,0,0,0,1,Only predation in support
Lanius newtoni,All rodents,0,1,0,0,0,0,0,No studies found
Lanius newtoni,Rattus rattus,0,1,0,0,0,0,0,No studies found
Larosterna inca,All rodents,0,0,0,0,0,0,2,Only predation in support
Larosterna inca,Rattus norvegicus,0,0,0,0,0,0,1,Only predation in support
Larosterna inca,Rattus rattus,0,0,0,0,0,0,1,Only predation in support
Larus audouinii,All rodents,0,0,1,0,0,0,0,All studies are not in support
Larus audouinii,Rattus rattus,0,0,1,0,0,0,0,All studies are not in support
Larus bulleri,All rodents,0,1,0,0,0,0,0,No studies found
Larus bulleri,Rattus norvegicus,0,1,0,0,0,0,0,No studies found
Larus fuliginosus,All rodents,0,0,0,0,0,0,1,Only predation in support
Larus fuliginosus,Rattus rattus,0,0,0,0,0,0,1,Only predation in support
Larus heermanni,All rodents,0,0,0,0,2,0,0,Population study without data in support
Larus heermanni,Mus musculus,0,0,0,0,1,0,0,Population study without data in support
Larus heermanni,Rattus rattus,0,0,0,0,1,0,0,Population study without data in support
Laterallus spilonota,All rodents,0,0,0,0,0,0,2,Only predation in support
Laterallus spilonota,Rattus norvegicus,0,0,0,0,0,0,1,Only predation in support
Laterallus spilonota,Rattus rattus,0,0,0,0,0,0,1,Only predation in support
Leptotila wellsi,All rodents,0,1,0,0,0,0,0,No studies found
Leptotila wellsi,Rattus norvegicus,0,1,0,0,0,0,0,No studies found
Leucocarbo campbelli,All rodents,0,1,0,0,0,0,0,No studies found
Leucocarbo campbelli,Rattus norvegicus,0,1,0,0,0,0,0,No studies found
Lewinia muelleri,All rodents,0,1,0,0,0,0,0,No studies found
Lewinia muelleri,Mus musculus,0,1,0,0,0,0,0,No studies found
Loxioides bailleui,All rodents,0,0,2,0,0,0,1,Only predation in support
Loxioides bailleui,Rattus rattus,0,0,2,0,0,0,1,Only predation in support
Loxops caeruleirostris,All rodents,0,0,3,0,0,0,3,Only predation in support
Loxops caeruleirostris,Rattus exulans,0,0,1,0,0,0,1,Only predation in support
Loxops caeruleirostris,Rattus norvegicus,0,0,1,0,0,0,1,Only predation in support
Loxops caeruleirostris,Rattus rattus,0,0,1,0,0,0,1,Only predation in support
Loxops coccineus,All rodents,0,1,0,0,0,0,0,No studies found
Loxops coccineus,Rattus exulans,0,1,0,0,0,0,0,No studies found
Loxops coccineus,Rattus norvegicus,0,1,0,0,0,0,0,No studies found
Loxops coccineus,Rattus rattus,0,1,0,0,0,0,0,No studies found
Macrocephalon maleo,All rodents,0,1,0,0,0,0,0,No studies found
Macrocephalon maleo,Rattus exulans,0,1,0,0,0,0,0,No studies found
Macrocephalon maleo,Rattus rattus,0,1,0,0,0,0,0,No studies found
Magumma parva,All rodents,0,1,0,0,0,0,0,No studies found
Magumma parva,Rattus exulans,0,1,0,0,0,0,0,No studies found
Magumma parva,Rattus norvegicus,0,1,0,0,0,0,0,No studies found
Magumma parva,Rattus rattus,0,1,0,0,0,0,0,No studies found
Mayrornis versicolor,All rodents,0,1,0,0,0,0,0,No studies found
Mayrornis versicolor,Rattus exulans,0,1,0,0,0,0,0,No studies found
Mayrornis versicolor,Rattus norvegicus,0,1,0,0,0,0,0,No studies found
Mayrornis versicolor,Rattus rattus,0,1,0,0,0,0,0,No studies found
Megapodius laperouse,All rodents,0,0,3,0,0,0,0,All studies are not in support
Megapodius laperouse,Rattus exulans,0,0,1,0,0,0,0,All studies are not in support
Megapodius laperouse,Rattus norvegicus,0,0,1,0,0,0,0,All studies are not in support
Megapodius laperouse,Rattus rattus,0,0,1,0,0,0,0,All studies are not in support
Melamprosops phaeosoma,All rodents,0,1,0,0,0,0,0,No studies found
Melamprosops phaeosoma,Rattus exulans,0,1,0,0,0,0,0,No studies found
Melamprosops phaeosoma,Rattus norvegicus,0,1,0,0,0,0,0,No studies found
Melamprosops phaeosoma,Rattus rattus,0,1,0,0,0,0,0,No studies found
Melanospiza richardsoni,All rodents,0,1,0,0,0,0,0,No studies found
Melanospiza richardsoni,Rattus norvegicus,0,1,0,0,0,0,0,No studies found
Melanospiza richardsoni,Rattus rattus,0,1,0,0,0,0,0,No studies found
Melopyrrha grandis,All rodents,0,1,0,0,0,0,0,No studies found
Melopyrrha grandis,Rattus rattus,0,1,0,0,0,0,0,No studies found
Mergus australis,All rodents,0,1,0,0,0,0,0,No studies found
Mergus australis,Rattus exulans,0,1,0,0,0,0,0,No studies found
Mergus australis,Rattus norvegicus,0,1,0,0,0,0,0,No studies found
Mergus australis,Rattus rattus,0,1,0,0,0,0,0,No studies found
Mesitornis unicolor,All rodents,0,1,0,0,0,0,0,No studies found
Mesitornis unicolor,Rattus norvegicus,0,1,0,0,0,0,0,No studies found
Mesitornis unicolor,Rattus rattus,0,1,0,0,0,0,0,No studies found
Mimus melanotis,All rodents,0,1,0,0,0,0,0,No studies found
Mimus melanotis,Rattus rattus,0,1,0,0,0,0,0,No studies found
Mimus trifasciatus,All rodents,0,0,0,0,0,0,1,Only predation in support
Mimus trifasciatus,Rattus rattus,0,0,0,0,0,0,1,Only predation in support
Moho bishopi,All rodents,0,1,0,0,0,0,0,No studies found
Moho bishopi,Rattus rattus,0,1,0,0,0,0,0,No studies found
Moho braccatus,All rodents,0,1,0,0,0,0,0,No studies found
Moho braccatus,Rattus rattus,0,1,0,0,0,0,0,No studies found
Mohoua ochrocephala,All rodents,0,0,1,3,0,0,0,Population study with data in support
Mohoua ochrocephala,Rattus rattus,0,0,1,3,0,0,0,Population study with data in support
Monias benschi,All rodents,0,1,0,0,0,0,0,No studies found
Monias benschi,Rattus norvegicus,0,1,0,0,0,0,0,No studies found
Monias benschi,Rattus rattus,0,1,0,0,0,0,0,No studies found
Mundia elpenor,All rodents,0,0,1,0,0,0,0,All studies are not in support
Mundia elpenor,Rattus rattus,0,0,1,0,0,0,0,All studies are not in support
Myadestes obscurus,All rodents,0,1,0,0,0,0,0,No studies found
Myadestes obscurus,Rattus exulans,0,1,0,0,0,0,0,No studies found
Myadestes obscurus,Rattus norvegicus,0,1,0,0,0,0,0,No studies found
Myadestes obscurus,Rattus rattus,0,1,0,0,0,0,0,No studies found
Myadestes palmeri,All rodents,1,0,3,0,0,0,7,Lethal program in support
Myadestes palmeri,Rattus exulans,0,0,1,0,0,0,2,Only predation in support
Myadestes palmeri,Rattus norvegicus,0,0,1,0,0,0,2,Only predation in support
Myadestes palmeri,Rattus rattus,1,0,1,0,0,0,3,Lethal program in support
Myzomela chermesina,All rodents,0,1,0,0,0,0,0,No studies found
Myzomela chermesina,Rattus exulans,0,1,0,0,0,0,0,No studies found
Nannopterum harrisi,All rodents,0,1,0,0,0,0,0,No studies found
Nannopterum harrisi,Rattus norvegicus,0,1,0,0,0,0,0,No studies found
Nannopterum harrisi,Rattus rattus,0,1,0,0,0,0,0,No studies found
Nesillas aldabrana,All rodents,0,1,0,0,0,0,0,No studies found
Nesillas aldabrana,Rattus norvegicus,0,1,0,0,0,0,0,No studies found
Nesillas aldabrana,Rattus rattus,0,1,0,0,0,0,0,No studies found
Nesoenas cicur,All rodents,0,1,0,0,0,0,0,No studies found
Nesoenas cicur,Rattus rattus,0,1,0,0,0,0,0,No studies found
Nesoenas duboisi,All rodents,0,1,0,0,0,0,0,No studies found
Nesoenas duboisi,Rattus norvegicus,0,1,0,0,0,0,0,No studies found
Nesoenas duboisi,Rattus rattus,0,1,0,0,0,0,0,No studies found
Nesoenas mayeri,All rodents,0,1,0,0,0,0,0,No studies found
Nesoenas mayeri,Rattus norvegicus,0,1,0,0,0,0,0,No studies found
Nesoenas mayeri,Rattus rattus,0,1,0,0,0,0,0,No studies found
Nesoenas rodericanus,All rodents,0,1,0,0,0,0,0,No studies found
Nesoenas rodericanus,Rattus rattus,0,1,0,0,0,0,0,No studies found
Nesofregetta fuliginosa,All rodents,0,1,0,0,0,0,0,No studies found
Nesofregetta fuliginosa,Rattus exulans,0,1,0,0,0,0,0,No studies found
Nesofregetta fuliginosa,Rattus rattus,0,1,0,0,0,0,0,No studies found
Nesospiza acunhae,All rodents,0,1,0,0,0,0,0,No studies found
Nesospiza acunhae,Mus musculus,0,1,0,0,0,0,0,No studies found
Nestor meridionalis,All rodents,0,1,0,0,0,0,0,No studies found
Nestor meridionalis,Rattus norvegicus,0,1,0,0,0,0,0,No studies found
Notiomystis cincta,All rodents,0,1,0,0,0,0,0,No studies found
Notiomystis cincta,Rattus rattus,0,1,0,0,0,0,0,No studies found
Onychoprion aleuticus,All rodents,0,1,0,0,0,0,0,No studies found
Onychoprion aleuticus,Rattus norvegicus,0,1,0,0,0,0,0,No studies found
Oreomystis bairdi,All rodents,0,0,0,0,0,0,6,Only predation in support
Oreomystis bairdi,Rattus exulans,0,0,0,0,0,0,2,Only predation in support
Oreomystis bairdi,Rattus norvegicus,0,0,0,0,0,0,2,Only predation in support
Oreomystis bairdi,Rattus rattus,0,0,0,0,0,0,2,Only predation in support
Otidiphaps insularis,All rodents,0,1,0,0,0,0,0,No studies found
Otidiphaps insularis,Rattus exulans,0,1,0,0,0,0,0,No studies found
Otus capnodes,All rodents,0,0,1,0,0,0,0,All studies are not in support
Otus capnodes,Rattus rattus,0,0,1,0,0,0,0,All studies are not in support
Otus insularis,All rodents,0,0,0,0,0,0,1,Only predation in support
Otus insularis,Rattus rattus,0,0,0,0,0,0,1,Only predation in support
Otus moheliensis,All rodents,0,1,0,0,0,0,0,No studies found
Otus moheliensis,Rattus rattus,0,1,0,0,0,0,0,No studies found
Otus pauliani,All rodents,0,1,0,0,0,0,0,No studies found
Otus pauliani,Rattus rattus,0,1,0,0,0,0,0,No studies found
Pachycephala jacquinoti,All rodents,0,1,0,0,0,0,0,No studies found
Pachycephala jacquinoti,Rattus exulans,0,1,0,0,0,0,0,No studies found
Pachycephala jacquinoti,Rattus rattus,0,1,0,0,0,0,0,No studies found
Pachyptila macgillivrayi,All rodents,0,1,0,0,1,0,1,Population study without data in support
Pachyptila macgillivrayi,Mus musculus,0,0,0,0,0,0,1,Only predation in support
Pachyptila macgillivrayi,Rattus norvegicus,0,1,0,0,0,0,0,No studies found
Pachyptila macgillivrayi,Rattus rattus,0,0,0,0,1,0,0,Population study without data in support
Palmeria dolei,All rodents,0,0,0,0,0,0,3,Only predation in support
Palmeria dolei,Rattus exulans,0,0,0,0,0,0,1,Only predation in support
Palmeria dolei,Rattus norvegicus,0,0,0,0,0,0,1,Only predation in support
Palmeria dolei,Rattus rattus,0,0,0,0,0,0,1,Only predation in support
Pampusana canifrons,All rodents,0,0,0,0,0,0,2,Only predation in support
Pampusana canifrons,Rattus exulans,0,0,0,0,0,0,1,Only predation in support
Pampusana canifrons,Rattus norvegicus,0,0,0,0,0,0,1,Only predation in support
Pampusana erythroptera,All rodents,0,1,0,0,0,0,0,No studies found
Pampusana erythroptera,Rattus exulans,0,1,0,0,0,0,0,No studies found
Pampusana erythroptera,Rattus rattus,0,1,0,0,0,0,0,No studies found
Pampusana kubaryi,All rodents,0,1,0,0,0,0,0,No studies found
Pampusana kubaryi,Rattus exulans,0,1,0,0,0,0,0,No studies found
Pampusana kubaryi,Rattus norvegicus,0,1,0,0,0,0,0,No studies found
Pampusana kubaryi,Rattus rattus,0,1,0,0,0,0,0,No studies found
Pampusana salamonis,All rodents,0,1,0,0,0,0,0,No studies found
Pampusana salamonis,Rattus exulans,0,1,0,0,0,0,0,No studies found
Pampusana salamonis,Rattus rattus,0,1,0,0,0,0,0,No studies found
Pampusana sanctaecrucis,All rodents,0,1,0,0,0,0,0,No studies found
Pampusana sanctaecrucis,Rattus rattus,0,1,0,0,0,0,0,No studies found
Pampusana stairi,All rodents,0,1,0,0,0,0,0,No studies found
Pampusana stairi,Rattus exulans,0,1,0,0,0,0,0,No studies found
Pareudiastes pacificus,All rodents,0,1,0,0,0,0,0,No studies found
Pareudiastes pacificus,Rattus exulans,0,1,0,0,0,0,0,No studies found
Pelecanoides garnotii,All rodents,0,1,0,0,0,0,0,No studies found
Pelecanoides garnotii,Rattus norvegicus,0,1,0,0,0,0,0,No studies found
Pelecanoides garnotii,Rattus rattus,0,1,0,0,0,0,0,No studies found
Pelecanoides whenuahouensis,All rodents,0,1,1,0,1,0,0,Population study without data in support
Pelecanoides whenuahouensis,Rattus exulans,0,0,1,0,1,0,0,Population study without data in support
Pelecanoides whenuahouensis,Rattus norvegicus,0,1,0,0,0,0,0,No studies found
Petroica multicolor,All rodents,1,0,0,0,0,0,1,Lethal program in support
Petroica multicolor,Rattus rattus,1,0,0,0,0,0,1,Lethal program in support
Petroica traversi,All rodents,0,1,0,0,0,0,0,No studies found
Petroica traversi,Rattus exulans,0,1,0,0,0,0,0,No studies found
Petroica traversi,Rattus norvegicus,0,1,0,0,0,0,0,No studies found
Petroica traversi,Rattus rattus,0,1,0,0,0,0,0,No studies found
Phalacrocorax featherstoni,All rodents,0,1,0,0,0,0,0,No studies found
Phalacrocorax featherstoni,Rattus norvegicus,0,1,0,0,0,0,0,No studies found
Phalacrocorax featherstoni,Rattus rattus,0,1,0,0,0,0,0,No studies found
Philesturnus rufusater,All rodents,0,1,0,0,0,0,0,No studies found
Philesturnus rufusater,Rattus norvegicus,0,1,0,0,0,0,0,No studies found
Phoebastria immutabilis,All rodents,0,0,0,0,0,0,2,Only predation in support
Phoebastria immutabilis,Mus musculus,0,0,0,0,0,0,2,Only predation in support
Phoebetria fusca,All rodents,0,1,1,0,0,0,3,Only predation in support
Phoebetria fusca,Mus musculus,0,0,0,0,0,0,3,Only predation in support
Phoebetria fusca,Rattus norvegicus,0,1,0,0,0,0,0,No studies found
Phoebetria fusca,Rattus rattus,0,0,1,0,0,0,0,All studies are not in support
Phoebetria palpebrata,All rodents,0,1,0,0,0,0,1,Only predation in support
Phoebetria palpebrata,Mus musculus,0,0,0,0,0,0,1,Only predation in support
Phoebetria palpebrata,Rattus norvegicus,0,1,0,0,0,0,0,No studies found
Phoebetria palpebrata,Rattus rattus,0,1,0,0,0,0,0,No studies found
Phylloscopus amoenus,All rodents,0,1,0,0,0,0,0,No studies found
Phylloscopus amoenus,Rattus exulans,0,1,0,0,0,0,0,No studies found
Phylloscopus amoenus,Rattus rattus,0,1,0,0,0,0,0,No studies found
Ploceus grandis,All rodents,0,1,0,0,0,0,0,No studies found
Ploceus grandis,Rattus rattus,0,1,0,0,0,0,0,No studies found
Pomarea dimidiata,All rodents,1,0,0,0,0,0,0,Lethal program in support
Pomarea dimidiata,Rattus rattus,1,0,0,0,0,0,0,Lethal program in support
Pomarea fluxa,All rodents,0,0,0,0,2,0,0,Population study without data in support
Pomarea fluxa,Rattus exulans,0,0,0,0,1,0,0,Population study without data in support
Pomarea fluxa,Rattus rattus,0,0,0,0,1,0,0,Population study without data in support
Pomarea mendozae,All rodents,0,1,0,0,0,0,0,No studies found
Pomarea mendozae,Rattus exulans,0,1,0,0,0,0,0,No studies found
Pomarea mira,All rodents,0,1,0,0,0,0,0,No studies found
Pomarea mira,Rattus rattus,0,1,0,0,0,0,0,No studies found
Pomarea nigra,All rodents,0,0,1,0,0,1,0,Population study with all qualities in support
Pomarea nigra,Rattus rattus,0,0,1,0,0,1,0,Population study with all qualities in support
Pomarea nukuhivae,All rodents,0,1,0,0,0,0,0,No studies found
Pomarea nukuhivae,Rattus rattus,0,1,0,0,0,0,0,No studies found
Pomarea whitneyi,All rodents,1,0,2,0,1,0,1,Population study without data in support
Pomarea whitneyi,Rattus rattus,1,0,2,0,1,0,1,Population study without data in support
Porphyrio paepae,All rodents,0,1,0,0,0,0,0,No studies found
Porphyrio paepae,Rattus exulans,0,1,0,0,0,0,0,No studies found
Porphyrio paepae,Rattus norvegicus,0,1,0,0,0,0,0,No studies found
Porphyrio paepae,Rattus rattus,0,1,0,0,0,0,0,No studies found
Procellaria aequinoctialis,All rodents,0,0,4,0,0,0,0,All studies are not in support
Procellaria aequinoctialis,Rattus rattus,0,0,4,0,0,0,0,All studies are not in support
Procellaria cinerea,All rodents,0,1,1,0,0,0,2,Only predation in support
Procellaria cinerea,Mus musculus,0,0,0,0,0,0,2,Only predation in support
Procellaria cinerea,Rattus norvegicus,0,1,0,0,0,0,0,No studies found
Procellaria cinerea,Rattus rattus,0,0,1,0,0,0,0,All studies are not in support
Procellaria parkinsoni,All rodents,0,1,0,0,0,0,0,No studies found
Procellaria parkinsoni,Rattus exulans,0,1,0,0,0,0,0,No studies found
Procellaria parkinsoni,Rattus rattus,0,1,0,0,0,0,0,No studies found
Procellaria westlandica,All rodents,0,1,0,0,0,0,0,No studies found
Procellaria westlandica,Rattus exulans,0,1,0,0,0,0,0,No studies found
Procellaria westlandica,Rattus norvegicus,0,1,0,0,0,0,0,No studies found
Procellaria westlandica,Rattus rattus,0,1,0,0,0,0,0,No studies found
Progne modesta,All rodents,0,1,0,0,0,0,0,No studies found
Progne modesta,Rattus norvegicus,0,1,0,0,0,0,0,No studies found
Progne modesta,Rattus rattus,0,1,0,0,0,0,0,No studies found
Prosobonia cancellata,All rodents,0,1,0,0,0,0,0,No studies found
Prosobonia cancellata,Rattus norvegicus,0,1,0,0,0,0,0,No studies found
Prosobonia cancellata,Rattus rattus,0,1,0,0,0,0,0,No studies found
Prosobonia ellisi,All rodents,0,1,0,0,0,0,0,No studies found
Prosobonia ellisi,Rattus exulans,0,1,0,0,0,0,0,No studies found
Prosobonia ellisi,Rattus norvegicus,0,1,0,0,0,0,0,No studies found
Prosobonia ellisi,Rattus rattus,0,1,0,0,0,0,0,No studies found
Prosobonia leucoptera,All rodents,0,1,0,0,0,0,0,No studies found
Prosobonia leucoptera,Rattus exulans,0,1,0,0,0,0,0,No studies found
Prosobonia leucoptera,Rattus norvegicus,0,1,0,0,0,0,0,No studies found
Prosobonia leucoptera,Rattus rattus,0,1,0,0,0,0,0,No studies found
Prosobonia parvirostris,All rodents,0,0,0,0,1,0,0,Population study without data in support
Prosobonia parvirostris,Rattus rattus,0,0,0,0,1,0,0,Population study without data in support
Pseudobulweria aterrima,All rodents,0,1,0,0,0,0,0,No studies found
Pseudobulweria aterrima,Rattus rattus,0,1,0,0,0,0,0,No studies found
Pseudobulweria becki,All rodents,0,1,0,0,0,0,0,No studies found
Pseudobulweria becki,Rattus exulans,0,1,0,0,0,0,0,No studies found
Pseudobulweria becki,Rattus rattus,0,1,0,0,0,0,0,No studies found
Pseudobulweria macgillivrayi,All rodents,0,1,0,0,0,0,0,No studies found
Pseudobulweria macgillivrayi,Rattus exulans,0,1,0,0,0,0,0,No studies found
Pseudobulweria macgillivrayi,Rattus norvegicus,0,1,0,0,0,0,0,No studies found
Pseudobulweria macgillivrayi,Rattus rattus,0,1,0,0,0,0,0,No studies found
Pseudobulweria rostrata,All rodents,0,1,0,0,0,0,0,No studies found
Pseudobulweria rostrata,Rattus exulans,0,1,0,0,0,0,0,No studies found
Pseudobulweria rostrata,Rattus norvegicus,0,1,0,0,0,0,0,No studies found
Pseudobulweria rostrata,Rattus rattus,0,1,0,0,0,0,0,No studies found
Pseudonestor xanthophrys,All rodents,0,0,6,0,0,0,0,All studies are not in support
Pseudonestor xanthophrys,Rattus exulans,0,0,2,0,0,0,0,All studies are not in support
Pseudonestor xanthophrys,Rattus norvegicus,0,0,2,0,0,0,0,All studies are not in support
Pseudonestor xanthophrys,Rattus rattus,0,0,2,0,0,0,0,All studies are not in support
Psittirostra psittacea,All rodents,0,1,0,0,0,0,0,No studies found
Psittirostra psittacea,Rattus exulans,0,1,0,0,0,0,0,No studies found
Psittirostra psittacea,Rattus norvegicus,0,1,0,0,0,0,0,No studies found
Psittirostra psittacea,Rattus rattus,0,1,0,0,0,0,0,No studies found
Pterodroma alba,All rodents,0,0,1,0,0,0,0,All studies are not in support
Pterodroma alba,Rattus exulans,0,0,1,0,0,0,0,All studies are not in support
Pterodroma arminjoniana,All rodents,0,1,0,0,0,0,0,No studies found
Pterodroma arminjoniana,Mus musculus,0,1,0,0,0,0,0,No studies found
Pterodroma atrata,All rodents,0,0,1,0,0,0,1,Only predation in support
Pterodroma atrata,Rattus exulans,0,0,1,0,0,0,1,Only predation in support
Pterodroma baraui,All rodents,0,1,0,0,0,0,0,No studies found
Pterodroma baraui,Rattus norvegicus,0,1,0,0,0,0,0,No studies found
Pterodroma baraui,Rattus rattus,0,1,0,0,0,0,0,No studies found
Pterodroma brevipes,All rodents,0,1,1,0,0,0,0,All studies are not in support
Pterodroma brevipes,Rattus norvegicus,0,1,0,0,0,0,0,No studies found
Pterodroma brevipes,Rattus rattus,0,0,1,0,0,0,0,All studies are not in support
Pterodroma cahow,All rodents,0,1,0,0,0,0,0,No studies found
Pterodroma cahow,Rattus norvegicus,0,1,0,0,0,0,0,No studies found
Pterodroma cahow,Rattus rattus,0,1,0,0,0,0,0,No studies found
Pterodroma caribbaea,All rodents,0,0,0,0,0,0,2,Only predation in support
Pterodroma caribbaea,Rattus norvegicus,0,0,0,0,0,0,1,Only predation in support
Pterodroma caribbaea,Rattus rattus,0,0,0,0,0,0,1,Only predation in support
Pterodroma cookii,All rodents,0,1,1,0,2,2,1,Population study with all qualities in support
Pterodroma cookii,Rattus exulans,0,0,1,0,2,2,1,Population study with all qualities in support
Pterodroma cookii,Rattus rattus,0,1,0,0,0,0,0,No studies found
Pterodroma defilippiana,All rodents,0,1,0,0,0,0,0,No studies found
Pterodroma defilippiana,Rattus norvegicus,0,1,0,0,0,0,0,No studies found
Pterodroma defilippiana,Rattus rattus,0,1,0,0,0,0,0,No studies found
Pterodroma externa,All rodents,0,1,0,0,0,0,2,Only predation in support
Pterodroma externa,Mus musculus,0,0,0,0,0,0,1,Only predation in support
Pterodroma externa,Rattus norvegicus,0,0,0,0,0,0,1,Only predation in support
Pterodroma externa,Rattus rattus,0,1,0,0,0,0,0,No studies found
Pterodroma feae,All rodents,0,1,0,0,0,0,0,No studies found
Pterodroma feae,Rattus norvegicus,0,1,0,0,0,0,0,No studies found
Pterodroma feae,Rattus rattus,0,1,0,0,0,0,0,No studies found
Pterodroma hasitata,All rodents,0,1,0,0,0,0,0,No studies found
Pterodroma hasitata,Rattus norvegicus,0,1,0,0,0,0,0,No studies found
Pterodroma hasitata,Rattus rattus,0,1,0,0,0,0,0,No studies found
Pterodroma incerta,All rodents,0,0,0,0,0,0,4,Only predation in support
Pterodroma incerta,Mus musculus,0,0,0,0,0,0,4,Only predation in support
