scientificName,Article,Article_secondary_same_data,Evidence_category,Evidence_effect,Evidence_method,Study_rodent_final,Exclude_row,Sample_size_greater_than_1,Predation_type,Sample_size_nests_monitored,Hypothesis_supported,Percent_nests_or_individuals_predated,Predator_and_prey_population_data,Experiment_control_site_or_spatial_variation,Note_experiment_sample_size,Experiment_confounding_variables_included,Experiment_BACI,Study_location,Latitude,Longitude,Island_name,Archipelago,Region,Country,Study_notes,Study_ID,Reported_study_rodent,Study_rodent_notes,key
Loxioides bailleui,"Banko, P.C., Oboyski, P.T., Slotterback, J.W., Dougill, S.J., Goltz, D.M., Johnson, L., Laut, M.E. and Murray, T.C., 2002. Availability of food resources, distribution of invasive species, and conservation of a Hawaiian bird along a gradient of elevation. Journal of Biogeography, 29(5‐6), pp.789-808.","Banko, P. C. and Farmer, C. 2014. Palila restoration research, 1996-2012. Hawai‘i Cooperative Studies Unit Technical Report HCSU-046. University of Hawai‘i at Hilo. Available at: http://www.uhh.hawaii.edu/hcsu/publications.php].",Population,Abundance,Temporal,Rattus rattus,,,NA,NA,0,,0,NA,NA,NA,NA,Mauna Kea Volcano,19.472100000000001,-155.59219999999999,hawaiʻi,Hawaiian Islands,Pacific Ocean - North East,United States,"""Rattus is rare in Loxioides habitat""",206,Rattus rattus,,Loxioides bailleui_Rattus rattus
Loxioides bailleui,"Banko, P. C. and Farmer, C. 2014. Palila restoration research, 1996-2012. Hawai‘i Cooperative Studies Unit Technical Report HCSU-046. University of Hawai‘i at Hilo. Available at: http://www.uhh.hawaii.edu/hcsu/publications.php].","VanderWerf, E. A. 2012. Hawaiian Bird Conservation Action Plan: NWHI Passerines. Honolulu, Hawaii http://large.stanford.edu/courses/2017/ph241/lewis1/docs/HBCAP_complete1.pdf",Predation,Predation,Predation,Rattus rattus,,,Unknown,NA,1,,0,NA,NA,NA,NA,Mauna Kea Volcano,19.472100000000001,-155.59219999999999,hawaiʻi,Hawaiian Islands,Pacific Ocean - North East,United States,"""Rats (Rattus rattus), which are more abundant where naio trees are co-dominant with māmane (Amarasekare 1994), also destroy some palila nests (Banko et al. 2002a).""",207,Rattus rattus,,Loxioides bailleui_Rattus rattus
Loxioides bailleui,"Amarasekare, P., 1994. Ecology of introduced small mammals on western Mauna Kea, Hawaii. Journal of Mammalogy, 75(1), pp.24-38.",NA,Population,Abundance,Spatial,Rattus rattus,,,NA,NA,0,,0,NA,NA,NA,NA,Mauna Kea Volcano,19.472100000000001,-155.59219999999999,hawaiʻi,Hawaiian Islands,Pacific Ocean - North East,United States,"""distributions of rats and palila, as well as their microhabitat preferences, appear to be independent. Absence of palila in the lower elevations, where rats are most abundant, is likely a result of habitat destruction by heavy grazing rather than predation. Rats attain their lowest densities in areas of highest abundance of palila, which is inconsistent with a predator-prey interaction but is well explained by elevational variation in availability of microhabitats.""",208,Rattus rattus,,Loxioides bailleui_Rattus rattus
Mimus trifasciatus,"Curry, R.L., 1986. Whatever happened to the Floreana mockingbird? Notícias de Galápagos 43: 13-15.",NA,Predation,Predation,Predation,Rattus rattus,,,Unknown,Unknown,1,30,0,NA,NA,NA,NA,Floreana Island,-1.3083,-90.431399999999996,floreana,Galapagos Islands,Pacific Ocean - North East,Ecuador,"""My studies on San Cristóbal in 1984 indicated that introduced black rats (Rattus rattus) can have a large detrimental impact on mockingbird nesting success. Clutches in at least 31% of the nests 1 studied at Cerro Brujo on San Cristóbal were destroyed by rats""",222,Rattus rattus,,Mimus trifasciatus_Rattus rattus
Mohoua ochrocephala,"O'Donnell, C.F. and Phillipson, S.M., 1996. Predicting the incidence of mohua predation from the seedfall, mouse, and predator fluctuations in beech forests. New Zealand Journal of Zoology, 23(3), pp.287-293.",NA,Population,Reproductive success,Temporal,Rattus rattus,,1,NA,NA,1,,1,0,2 sites,1,0,Arthur's Pass National Park,-42.936300000000003,171.7251,south,Motunau Islands,Pacific Ocean - South West,New Zealand,See Table 2,225,Rattus rattus,,Mohoua ochrocephala_Rattus rattus
Mohoua ochrocephala,"O'Donnell, C.F. and Hoare, J.M., 2012. Quantifying the benefits of long-term integrated pest control for forest bird populations in a New Zealand temperate rainforest. New Zealand Journal of Ecology, pp.131-140.",NA,Population,Abundance,Temporal,Rattus rattus,,0,NA,NA,0,,1,0,1,1,0,Landsborough Valley,-45.408499999999997,167.35910000000001,fiordland,Fiordland Islands,Pacific Ocean - South West,New Zealand,"Figure 3,4",226,Rattus rattus,,Mohoua ochrocephala_Rattus rattus
Mohoua ochrocephala,"Dilks, P., Willans, M., Pryde, M. and Fraser, I., 2003. Large scale stoat control to protect mohua (Mohoua ochrocephala) and kaka (Nestor meridionalis) in the Eglinton Valley, Fiordland, New Zealand. New Zealand Journal of Ecology, pp.1-9.",NA,Population,Abundance,Temporal,Rattus rattus,,0,NA,NA,1,,1,0,1,1,0,Fiordland,-43.9711,169.46780000000001,south,Lake Hawea,Pacific Ocean - South West,New Zealand,See Figure 2-4,227,Rattus rattus,,Mohoua ochrocephala_Rattus rattus
Mohoua ochrocephala,"Tilson, J. (2024) Breeding success and survival of mohua at Makarora during the 2023 rat plague, and implications for future management. Southern Lakes Sanctuary","Whitmore, N. (2021) An analysis of Makarora Mohua encounter rate 2011 -2020. Unpublished report for Central Otago Lakes Branch of Forest & Bird.; Whitmore, N. (2023a) An analysis of Mohua encounter rates at five South Island sites. Report for Department of Conservation.; Whitmore, N. (2023b) An analysis of Mohua encounter rates at Makarora 2011 – 2022. Southern Lakes Sanctuary unpublished report.",Population,Abundance,Temporal,Rattus rattus,,0,NA,NA,1,,1,0,1,0,0,Makarora,-44.231900000000003,169.2313,south,Lake Wanaka,Pacific Ocean - South West,New Zealand,"Fig 4, Table 3",228,Rattus rattus,,Mohoua ochrocephala_Rattus rattus
Myadestes palmeri,"Snetsinger, T.J., Herrmann, C.M., Holmes, D.E., Hayward, C.D. and Fancy, S.G., 2005. Breeding ecology of the Puaiohi (Myadestes palmeri). The Wilson Bulletin, 117(1), pp.72-84.",NA,Predation,Predation,Predation,Rattus rattus,,,"Eggs, chicks, adults",81,1,5,NA,NA,NA,NA,NA,Kauai,22.096399999999999,-159.52610000000001,kauai,Hawaiian Islands,Pacific Ocean - North East,United States,"""There was no evidence of rat predation at any of the nests with rat bait stations.""",235,Rattus rattus,,Myadestes palmeri_Rattus rattus
Myadestes palmeri,"Snetsinger, T.J., Herrmann, C.M., Holmes, D.E., Hayward, C.D. and Fancy, S.G., 2005. Breeding ecology of the Puaiohi (Myadestes palmeri). The Wilson Bulletin, 117(1), pp.72-84.",NA,Lethal program,Reproductive success,Spatial,Rattus rattus,,,NA,NA,1,,0,NA,NA,NA,NA,Kauai,22.096399999999999,-159.52610000000001,kauai,Hawaiian Islands,Pacific Ocean - North East,United States,"""Nest fate and nest protection with rat poison were not independent (x2 5 11.62, df 5 4, P 5 0.020). At protected nests, rat predation was 0%, owl or unknown predation was 3.7%, non-predation failure was 0%, unknown failure was 0%, and 96.3% fledged $1 young. At unprotected nests, rat predation was 7.4%, owl or unknown predation was 13.0%, non-predation failure was 16.7%, unknown failure was 1.9%, and 61.1% fledged $1 young. Nest failures confirmed to have been caused by rat predation increased from 0% in 1996 and 1997 to 36% (n 5 11 failures) in 1998, when eggs, nestlings, and an incubating female Puaiohi were depredated by rats. However, 8% of nests in 1996 and 3% of nests in 1997 failed due to unknown causes, at least a portion of which may have been caused by rat predation.",236,Rattus rattus,,Myadestes palmeri_Rattus rattus
Nesospiza acunhae,"Bond, A.L., Carlson, C.J. and Burgio, K.R., 2019. Local extinctions of insular avifauna on the most remote inhabited island in the world. Journal of Ornithology, 160(1), pp.49-60.",NA,Population,Abundance,Timing,Rattus rattus,,0,NA,NA,0,,1,0,1 island,1,NA,Tristan da Cunha,-37.105200000000004,-12.277699999999999,tristan da cunha,Tristan da Cunha,Atlantic Ocean - South,Saint Helena,"""We estimate that all three species were likely extirpated from Tristan between 1869 and 1880 following a period of significant habitat alteration and human overexploitation, and only the albatross had a high probability of persistence when Black Rats (Rattus rattus) arrived in 1882, the previously assumed cause of extinction for all three species."" ""The Inaccessible Finch likely went extinct in 1869.""",245,Rattus rattus,,Nesospiza acunhae_Rattus rattus
Notiomystis cincta,NA,NA,Population,Abundance,Timing,Rattus rattus,,,NA,NA,1,,0,NA,NA,NA,NA,North Island,-39.2378,175.60239999999999,north,Hawke's Bay,Pacific Ocean - South West,New Zealand,"""If predation was the cause, the black rat (Rattus rattus), an arboreal nest-predator, is most likely to have been responsible because its spread through the North Island in the 1870s (Atkinson 1973) coincided with the period of the Stitchbird's greatest decline.""",247,Rattus rattus,,Notiomystis cincta_Rattus rattus
Otus insularis,"Currie, D.; Fanchette, R.; Millett, J.; Hoareau, C.; Shah, N. J. 2004. The breeding biology of the critically endangered Seychelles Scops-owl Otus insularis: consequences for conservation and management. Bird Conservation International 14: 123-137.",NA,Predation,Predation,Predation,Rattus rattus,,,Unknown,8,1,25,0,NA,NA,NA,NA,"Mahé, Seychelles",-4.6826999999999996,55.480400000000003,mahé,Seychelles,Indian Ocean - West,Seychelles,"""The nesting success of study pairs was low. Of the eight nests found only two successfully fledged a chick. At least two nests, and probably a third, failed due to de-predation by a mammal, almost certainly Black Rat Rattus rattus.""",253,Rattus rattus,,Otus insularis_Rattus rattus
Pachyptila macgillivrayi,"Barbraud, C., Delord, K., Le Bouard, F., Harivel, R., Demay, J., Chaigne, A. and Micol, T., 2021. Seabird population changes following mammal eradication at oceanic Saint-Paul Island, Indian Ocean. Journal for Nature Conservation, 63, p.126049.",NA,Population,Abundance,Timing,Rattus rattus,,,NA,NA,1,,0,NA,NA,NA,NA,Saint-Paul Island,-40.318600000000004,-9.9352999999999998,gough,Tristan da Cunha,Atlantic Ocean - South,Saint Helena,"For two prion species combined: ""The most important population increases following eradication were for prions and flesh-footed shearwaters. This was particularly clear for prions which were not breeding on Saint-Paul prior to rat eradication due to rat predation. Although our population estimates are imprecise, we are quite confident in their accuracy since two independent monitoring methods gave relatively similar results for MacGillivray’s prion in colony 2."" Also Table 3 shows this prion breeding on the island in the after eradication survey but not in the before survey",257,Rattus rattus,,Pachyptila macgillivrayi_Rattus rattus
Pachyptila macgillivrayi,"Dilley, B.J., Davies, D., Bond, A.L. and Ryan, P.G., 2015. Effects of mouse predation on burrowing petrel chicks at Gough Island. Antarctic Science, 27(6), pp.543-553.",NA,Predation,Predation,Predation,Mus musculus,,,Chicks,NA,1,,0,NA,NA,NA,NA,Gough Island,-40.318600000000004,-9.9352999999999998,gough,Tristan da Cunha,Atlantic Ocean - South,Saint Helena,"""Mice killed the chicks of the recently discovered summer-breeding MacGillivray’s prion (Pachyptila macgillivrayi Mathews), with a chick mortality rate of 82%in 2013/14 and 100% in 2014/15.""",258,Mus musculus,,Pachyptila macgillivrayi_Mus musculus
Pelecanoides whenuahouensis,"Holdaway, R.N., Jones, M.D. and Athfield, N.R.B., 2003. Establishment and extinction of a population of South Georgian diving petrel (Pelecanoides georgicus) at Mason Bay, Stewart Island, New Zealand, during the late Holocene. Journal of the Royal society of New Zealand, 33(3), pp.601-622.",NA,Population,Abundance,Timing,Rattus exulans,,,NA,NA,1,,0,NA,NA,NA,NA,Stewart Island,-46.773299999999999,167.63210000000001,whenua hou/ codfish,Stewart Islands,Pacific Ocean - South West,New Zealand,"""...statistical analysis… gave a 95% probability that the diving petrel colony was founded between 1338 and 1440 ad, lasted 40–310 years, and became extinct between 1475 and 1650 ad… analysis of five 14C AMS determinations on Pacific rat bone gelatin did not exclude the possibility that the Pacific rat arrived before the diving petrel colony was established. However, the enriched 513C of their bone gelatin suggests that the rats had a partially marine diet, and a terrestrial calibration procedure for their AMS ages was probably not appropriate""",268,Rattus exulans,,Pelecanoides whenuahouensis_Rattus exulans
Pelecanoides whenuahouensis,"Fischer, J.H., Taylor, G.A., Cole, R., Debski, I., Armstrong, D.P. and Wittmer, H.U., 2020. Population growth estimates of a threatened seabird indicate necessity for additional management following invasive predator eradications. Animal Conservation, 23(1), pp.94-103.",NA,Population,Abundance,Timing,Rattus exulans,,,NA,NA,0,,0,NA,NA,NA,NA,Codfish Island,-47.010300000000001,167.8272,stewart (rakiura),Stewart Islands,Pacific Ocean - South West,New Zealand,"""Both estimates of Nt and k (based on pd,t data informed all 11 experts) indicated that the WHDP population was slowly increasing before invasive predator eradications and still is slowly increasing after- wards….The lack of change between the pre- and post-eradication k and the low post-eradication k indicated that after the inva- sive predator eradications other factors remained that limit the WHDP population growth and that additional manage- ment is required."" But see Figure 4",269,Rattus exulans,,Pelecanoides whenuahouensis_Rattus exulans
Phoebastria immutabilis,"Work, T.M., Duhr, M. and Flint, B., 2021. Pathology of house mouse (Mus musculus) predation on Laysan albatross (Phoebastria immutabilis) on Midway Atoll National Wildlife Refuge. The Journal of Wildlife Diseases, 57(1), pp.125-131.",NA,Predation,Predation,Predation,Mus musculus,,,"Chicks, adults",NA,1,,0,NA,NA,NA,NA,Midway Atoll National Wildlife Refuge,28.248200000000001,-177.33349999999999,midway atoll,Hawaiian Islands (Midway Atoll),Pacific Ocean - North East,United States,"""we show that, in addition to chicks, house mice (Mus musculus) prey on adult nesting LAAL on Midway Atoll""",275,Mus musculus,,Phoebastria immutabilis_Mus musculus
Phoebastria immutabilis,"Holthuijzen, W.A., Flint, E.N., Green, S.J., Plissner, J.H., Simberloff, D., Sweeney, D., Wolf, C.A. and Jones, H.P., 2023. An invasive appetite: Combining molecular and stable isotope analyses to reveal the diet of introduced house mice (Mus musculus) on a small, subtropical island. Plos one, 18(10), p.e0293092.",NA,Predation,Predation,Predation,Mus musculus,,,"Chicks, adults",NA,1,,0,NA,NA,NA,NA,Midway Atoll National Wildlife Refuge,28.248200000000001,-177.33349999999999,midway atoll,Hawaiian Islands (Midway Atoll),Pacific Ocean - North East,United States,"""House mouse diet on Sand Island is dominated by arthropods (62%), with C3 plants, C4 plants, and mōlī contributing nearly equal proportions (15%, 12%, and 12%, respectively; Fig 3A, S4 Table).""",276,Mus musculus,,Phoebastria immutabilis_Mus musculus
Phoebetria fusca,"Cuthbert, R.J., Louw, H., Parker, G., Rexer-Huber, K. and Visser, P., 2013. Observations of mice predation on dark-mantled sooty albatross and Atlantic yellow-nosed albatross chicks at Gough Island. Antarctic Science, 25(6), pp.763-766.",NA,Predation,Predation,Predation,Mus musculus,,,Chicks,NA,1,,0,NA,NA,NA,NA,Gough Island,-40.318600000000004,-9.9352999999999998,gough,Tristan da Cunha,Atlantic Ocean - South,Saint Helena,"""Fig. 1. a. The carcass of a sooty albatross chick with wounds to its belly and abdomen and exposed viscera, and b. location of the mouse hole within the nest and beneath the carcass of the chick.",277,Mus musculus,,Phoebetria fusca_Mus musculus
Phoebetria fusca,"Barbraud, C., Delord, K., Le Bouard, F., Harivel, R., Demay, J., Chaigne, A. and Micol, T., 2021. Seabird population changes following mammal eradication at oceanic Saint-Paul Island, Indian Ocean. Journal for Nature Conservation, 63, p.126049.",NA,Population,Abundance,Timing,Rattus rattus,,,NA,NA,0,,0,NA,NA,NA,NA,Saint-Paul Island,-46.912500000000001,37.743611000000001,marion,Prince Edward Islands,Indian Ocean - West,South Africa,No difference in number of Sooty Albatross breeding pairs before and after rat eradication (Table 2),278,Rattus rattus,,Phoebetria fusca_Rattus rattus
Phoebetria fusca,"Dilley, B.J., Schoombie, S., Schoombie, J. and Ryan, P.G., 2016. ‘Scalping’of albatross fledglings by introduced mice spreads rapidly at Marion Island. Antarctic Science, 28(2), pp.73-80.",NA,Predation,Predation,Predation,Mus musculus,,,Chicks,1045,1,4.3,0,NA,NA,NA,NA,Marion Island,-46.912500000000001,37.743611000000001,marion,Prince Edward Islands,Indian Ocean - West,South Africa,"""In 2015, mice attacked large chicks of all three albatross species that fledge in autumn: grey-headed (Thalassarche chrysostoma Forster) (at least 102 wounded chicks; 4.6% of fledglings), sooty (n = 45, 4.3%) and light-mantled albatross (P. palpebrata Forster) (n = 1, 4%). Filming at night confirmed that mice were responsible for wounds.""",279,Mus musculus,,Phoebetria fusca_Mus musculus
Phoebetria fusca,"Jones, M.G.W. and Ryan, P.G., 2010. Evidence of mouse attacks on albatross chicks on sub-Antarctic Marion Island. Antarctic Science, 22(1), pp.39-42.",NA,Predation,Predation,Predation,Mus musculus,,,Chicks,NA,1,,0,NA,NA,NA,NA,Marion Island,-38.720199999999998,77.518900000000002,saint-paul,Amsterdam and St. Paul Islands,Indian Ocean - West,French Southern Territories,"""We summarize evidence for mouse attacks on albatross chicks at sub-Antarctic Marion Island, where mice are also the only introduced mammal following the eradication of feral cats Felis catus in the early 1990s. Wounds consistent with mouse attacks have been found on wandering albatrosses Diomedea exulans since 2003 and dark-mantled sooty albatrosses Phoebetria fusca in 2009."" ""However, in April 2009 localized attacks were recorded on dark-mantled sooty albatross chicks at Marion Island. Seven of 19 large chicks on two ledges of an inland cliff in the south-west of the island (Old Sea Cliffs, Toffee Lava) bore open wounds on the backs of their heads and/or necks (Fig. 2) similar to wounds observed on some Tristan albatross chicks on Gough Island""",280,Mus musculus,,Phoebetria fusca_Mus musculus
Phoebetria palpebrata,"Dilley, B.J., Schoombie, S., Schoombie, J. and Ryan, P.G., 2016. ‘Scalping’of albatross fledglings by introduced mice spreads rapidly at Marion Island. Antarctic Science, 28(2), pp.73-80.",NA,Predation,Predation,Predation,Mus musculus,,,Chicks,25,1,4,0,NA,NA,NA,NA,Marion Island,-46.912500000000001,37.743611000000001,marion,Prince Edward Islands,Indian Ocean - West,South Africa,"""In 2015, mice attacked large chicks of all three albatross species that fledge in autumn: grey-headed (Thalassarche chrysostoma Forster) (at least 102 wounded chicks; 4.6% of fledglings), sooty (n = 45, 4.3%) and light-mantled albatross (P. palpebrata Forster) (n = 1, 4%). Filming at night confirmed that mice were responsible for wounds.""",281,Mus musculus,,Phoebetria palpebrata_Mus musculus
Pomarea dimidiata,"Robertson, H.A., Hay, J.R., Saul, E.K. and Mccormack, G.V., 1994. Recovery of the kakerori: an endangered forest bird of the Cook Islands. Conservation Biology, 8(4), pp.1078-1086.","Chan, C.H., Robertson, H.A., Saul, E.K., Nia, L.V., Luong, V.P., Kong, X., Zhao, Y. and Chambers, G.K., 2011. Genetic variation in the kakerori (Pomarea dimidiata), an endangered endemic bird successfully recovering in the Cook Islands. Conservation Genetics, 12, pp.441-447; BirdLife International. 2018. Pomarea dimidiata. The IUCN Red List of Threatened Species 2018: e.T22707172A132072143. https://dx.doi.org/10.2305/IUCN.UK.2018-2.RLTS.T22707172A132072143.en. Accessed on 14 December 2023.",Lethal program,Reproductive success,Temporal,Rattus rattus,,,NA,NA,1,,0,NA,NA,NA,NA,Rarotonga,-21.229199999999999,-159.77629999999999,rarotoka (centre),Foveaux Strait,Pacific Ocean - South West,New Zealand,"""nesting success was significantly better where we poisoned rats"" In the Chan study Fig. 2 shows that Kakerori population size on Rarotonga increased between 1987 and 2007 to around 300 birds; the IUCN now lists them as 500 (including an introduced population)",284,Rattus rattus,,Pomarea dimidiata_Rattus rattus
Pomarea fluxa,BirdLife International. 2016. Pomarea fluxa. The IUCN Red List of Threatened Species 2016: e.T22732926A95051671. https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22732926A95051671.en. Accessed on 16 November 2023.,NA,Population,Abundance,Timing,Rattus exulans,,,NA,NA,1,,0,NA,NA,NA,NA,Marquesas Islands,-9.7812000000000001,-139.08170000000001,hiva oa,Marquesas,Pacific Ocean - South East,French Polynesia,"""Introduced predators including feral cats, Polynesian rat Rattus exulans and possibly black rat R. rattus were present on the island at the time of the species's demise, and may have contributed to declines""",285,"Rattus exulans, Rattus rattus",,Pomarea fluxa_Rattus exulans
Pomarea fluxa,BirdLife International. 2016. Pomarea fluxa. The IUCN Red List of Threatened Species 2016: e.T22732926A95051671. https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22732926A95051671.en. Accessed on 16 November 2023.,NA,Population,Abundance,Timing,Rattus rattus,,,NA,NA,1,,0,NA,NA,NA,NA,Marquesas Islands,-9.7812000000000001,-139.08170000000001,hiva oa,Marquesas,Pacific Ocean - South East,French Polynesia,"""Introduced predators including feral cats, Polynesian rat Rattus exulans and possibly black rat R. rattus were present on the island at the time of the species's demise, and may have contributed to declines""",285,"Rattus exulans, Rattus rattus",,Pomarea fluxa_Rattus rattus
Pomarea nigra,"Thibault, J.C., Martin, J.L., Penloup, A. and Meyer, J.Y., 2002. Understanding the decline and extinction of monarchs (Aves) in Polynesian Islands. Biological conservation, 108(2), pp.161-174.",NA,Population,Abundance,Timing,Rattus rattus,,,NA,NA,0,,0,NA,NA,NA,NA,Tahiti,-17.6509,-149.42599999999999,tahiti nue,Society Islands,Pacific Ocean - South East,French Polynesia,"Table 2, Tahiti monarch co-occurred with black rats since the 19th century",288,Rattus rattus,,Pomarea nigra_Rattus rattus
Pomarea nigra,"Blanvillain, C., Salducci, J.M., Tutururai, G. and Maeura, M., 2003. Impact of introduced birds on the recovery of the Tahiti Flycatcher (Pomarea nigra), a critically endangered forest bird of Tahiti. Biological conservation, 109(2), pp.197-205.",NA,Population,Reproductive success,Spatiotemporal,Rattus rattus,,1,NA,NA,1,,1,1,4,1,0,Tahiti,-17.6509,-149.42599999999999,tahiti nue,Society Islands,Pacific Ocean - South East,French Polynesia,"""Rat control campaigns involved two valleys in 1998, three in 1999, and four in 2000.""... ""In 1999 and 2000, several transects of snap-traps were set before and 10 weeks after the start of the rat control campaign to establish the impact of the campaign on rodent density."" ""According to the situation of each nest, the nesting tree and the surrounding trees were banded with a metal sleeve to prevent rats climbing to the nest. Except for a few nests in 1998 and nests which were not found, all nests were protected using this method."" Study method unclear - there are ""protected"" and ""unprotected"" nests (Table 2) but all nests were banded to reduce rats climbing to nests (as quoted)",289,Rattus rattus,,Pomarea nigra_Rattus rattus
Pomarea whitneyi,"Ghestemme, T., Matohi, A., Blanvillain, C., Portier, E. and O’BRIEN, M.A.R.K., 2019. Catastrophic decline and subsequent conservation management of the Critically Endangered Fatu Hiva Monarch Pomarea whitneyi in the Marquesas Islands (French Polynesia). Bird Conservation International, 29(4), pp.598-615.",NA,Lethal program,Abundance,Temporal,Rattus rattus,,,NA,NA,0,,0,NA,NA,NA,NA,Fatu Hiva,-10.490500000000001,-138.6489,fatu hiva,Marquesas,Pacific Ocean - South East,French Polynesia,"Table 2 and Figure 1 show population decline while internsive rat (and cat) control continued - ""Rat control started in 2007 in the monarch territories and has been undertaken throughout the year since 2009"" ""Our initial assumption that controlling rats would improve breeding success, as observed for Tahiti and Rarotonga Monarchs, proved to be correct. However, in contrast to studies on the latter species, the improvement in breeding success for Fatu Hiva Monarch has not resulted in population increase. "" ""Our initial assumption that controlling rats would improve breeding success, as observed for Tahiti and Rarotonga Monarchs, proved to be correct. However, in contrast to studies on the latter species, the improvement in breeding success for Fatu Hiva Monarch has not resulted in population increase. """,291,Rattus rattus,,Pomarea whitneyi_Rattus rattus
Pomarea whitneyi,"Ghestemme, T., Matohi, A., Blanvillain, C., Portier, E. and O’BRIEN, M.A.R.K., 2019. Catastrophic decline and subsequent conservation management of the Critically Endangered Fatu Hiva Monarch Pomarea whitneyi in the Marquesas Islands (French Polynesia). Bird Conservation International, 29(4), pp.598-615.",NA,Lethal program,Reproductive success,Temporal,Rattus rattus,,,NA,NA,1,,0,NA,NA,NA,NA,Fatu Hiva,-10.490500000000001,-138.6489,fatu hiva,Marquesas,Pacific Ocean - South East,French Polynesia,"Figure 4 - Number of 2 month old chicks increases over time with high intensity rat poisoning and cat killing + ""we made 16 observations of newly-discovered pairs prior to the establishment of rat control on these territories. These pairs showed no sign of active breeding (neither nest building, chick rearing nor fledgling observed). While this is a very small sample size, it suggests that, in absence of rat control, Fatu Hiva Monarch nesting success was low.""",292,Rattus rattus,,Pomarea whitneyi_Rattus rattus
Pomarea whitneyi,"Ghestemme, T., Matohi, A., Blanvillain, C., Portier, E. and O’BRIEN, M.A.R.K., 2019. Catastrophic decline and subsequent conservation management of the Critically Endangered Fatu Hiva Monarch Pomarea whitneyi in the Marquesas Islands (French Polynesia). Bird Conservation International, 29(4), pp.598-615.",NA,Predation,Predation,Predation,Rattus rattus,,,Chicks,64,1,1.56,0,NA,NA,NA,NA,Fatu Hiva,-10.490500000000001,-138.6489,fatu hiva,Marquesas,Pacific Ocean - South East,French Polynesia,"""Rat predation is considered responsible for one chick death."" + Table 4",293,Rattus rattus,,Pomarea whitneyi_Rattus rattus
Pomarea whitneyi,"Thibault, J.C., Martin, J.L., Penloup, A. and Meyer, J.Y., 2002. Understanding the decline and extinction of monarchs (Aves) in Polynesian Islands. Biological Conservation, 108(2), pp.161-174.",NA,Population,Reproductive success,Timing,Rattus rattus,,,NA,NA,1,,0,NA,NA,NA,NA,Fatu Hiva,-10.490500000000001,-138.6489,fatu hiva,Marquesas,Pacific Ocean - South East,French Polynesia,"(inconclusive) ""On Fatuiva the proportion of pairs with young decreased significantly after the colonization of the island by rats: none of the 20 pairs observed in the latter period had young."" This is based on Table 4 - in 1975 3 of 8 pairs had young, in 1998-2000 0 of 20 had young. Rats arrived in 2000. Unclear why 1998-1999 data is included here since rats are only known from 2000.",294,Rattus rattus,,Pomarea whitneyi_Rattus rattus
Pomarea whitneyi,BirdLife International. 2019. Pomarea whitneyi (amended version of 2018 assessment). The IUCN Red List of Threatened Species 2019: e.T22707192A155462058. https://dx.doi.org/10.2305/IUCN.UK.2019-3.RLTS.T22707192A155462058.en. Accessed on 11 January 2024.,NA,Population,Abundance,Timing,Rattus rattus,,,NA,NA,0,,0,NA,NA,NA,NA,Fatu Hiva,-10.490500000000001,-138.6489,fatu hiva,Marquesas,Pacific Ocean - South East,French Polynesia,"The species was listed Threatened ion 1988, and Vulnerable in 1994 and 1996. Black rats were recorded in 2000.",295,Rattus rattus,,Pomarea whitneyi_Rattus rattus
Procellaria aequinoctialis,"Jones, H.P., Towns, D.R., Bodey, T., Miskelly, C.M., Ellis, J.C., Rauzon, M.J., Kress, S.W. and McKown, M., 2011. Recovery and restoration on seabird islands. Seabird islands: ecology, invasion, and restoration, pp.317-357.",NA,Population,Abundance,Timing,Rattus norvegicus,,,NA,NA,1,,0,NA,NA,NA,NA,Campbell Island,-52.537199999999999,169.14449999999999,campbell,Campbell Islands,Pacific Ocean - South West,New Zealand,"""on Campbell Island, following the removal of Norway rats in 2001, white-chinned petrels (Procellaria aequinoctialis) and gray-backed storm petrels (Garrodia nereis) naturally recolonized within eight years from remnant populations on rock stacks and islets within 1–2 km of the main island.""",296,Rattus norvegicus,,Procellaria aequinoctialis_Rattus norvegicus
Procellaria aequinoctialis,"Jouventin, P., Bried, J. and Micol, T., 2003. Insular bird populations can be saved from rats: a long-term experimental study of white-chinned petrels Procellaria aequinoctialis on Ile de la Possession (Crozet archipelago). Polar Biology, 26, pp.371-378.",NA,Lethal program,Reproductive success,Temporal,Rattus rattus,,,NA,NA,0,,0,NA,NA,NA,NA,Ile de la Possession,-46.426900000000003,51.7378,possession,Crozet Islands,Indian Ocean - West,French Southern Territories,"Figure 1 - breeding success increased, (number of breeding pairs decreased) without obvious connection to poison baiting activities (low, high or none). Data on rat abundance is provided for 2 years without comparison to petrel numbers.",297,Rattus rattus,,Procellaria aequinoctialis_Rattus rattus
