Avonet_Species,Genus,Family,Order,Habitat,Primary.Lifestyle,Mass,Status,Source,scientificName,Bird_Type_Coarse,Volancy,IslandEndemic,Volancy_Source,Migratory_status,Extent_of_occurrence_km2,Generation_length_yrs,Neartic,Paleartic,Afrotropical,Neotropical,Indomalayan,Australasian,Oceanic,Breeding_Distribution,Number_islands_extant,Parasite,Mound,NestSite_ground,NestSite_tree,NestSite_nontree,NestSite_cliff_bank,NestSite_underground,NestSite_waterbody,NestSite_termite_ant,Bird_Type
Acrocephalus aequinoctialis,Acrocephalus,Acrocephalidae; Sylviidae,Passeriformes,Shrubland,Generalist,25,Extant,,Acrocephalus aequinoctialis,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,not a migrant,460,4.4,0,0,0,0,0,1,1,Islands,2,0,0,0,1,0,0,0,0,0,Landbirds
Acrocephalus brevipennis,Acrocephalus,Acrocephalidae; Sylviidae,Passeriformes,Shrubland,Insessorial,16,Extant,,Acrocephalus brevipennis,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,,,,,,,,,,,Islands,3,0,0,0,1,1,0,0,0,0,Landbirds
Acrocephalus caffer,Acrocephalus,Acrocephalidae; Sylviidae,Passeriformes,Forest,Insessorial,43.8,Extant,,Acrocephalus caffer,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,not a migrant,420,4.4,0,0,0,0,0,1,0,Islands,1,0,0,0,0,1,0,0,0,0,Landbirds
Acrocephalus hiwae,Acrocephalus,Acrocephalidae,Passeriformes,Wetland,Terrestrial,35.6,Extant,,Acrocephalus hiwae,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,not a migrant,2500,5.7,0,0,0,0,0,1,0,,,0,0,0,1,1,0,0,0,0,Landbirds
Acrocephalus kerearako,Acrocephalus,Acrocephalidae; Sylviidae,Passeriformes,Forest,Insessorial,22.5,Extant,,Acrocephalus kerearako,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,not a migrant,1600,4.4,0,0,0,0,0,1,1,,,0,0,0,1,1,0,0,0,0,Landbirds
Acrocephalus longirostris,Acrocephalus,Acrocephalidae,Passeriformes,Forest,Insessorial,43.8,Extant,,Acrocephalus longirostris,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,,,,,,,,,,,,,,,,,,,,,,Landbirds
Acrocephalus musae,Acrocephalus,Acrocephalidae; Sylviidae,Passeriformes,Forest; Shrubland; Wetland; Woodland,Generalist; Insessorial; Terrestrial,20.0638738738739,Extinct,Genus average,Acrocephalus musae,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,,,,,,,,,,,,,,,,,,,,,,Landbirds
Acrocephalus nijoi,Acrocephalus,Acrocephalidae; Sylviidae,Passeriformes,Forest; Shrubland; Wetland; Woodland,Generalist; Insessorial; Terrestrial,20.0638738738739,Extinct,Genus average,Acrocephalus nijoi,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,,,,,,,,,,,,,,,,,,,,,,Landbirds
Acrocephalus rehsei,Acrocephalus,Acrocephalidae; Sylviidae,Passeriformes,Forest,Insessorial,20.0733333333333,Extant,,Acrocephalus rehsei,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,not a migrant,18,4.4,0,0,0,0,0,1,1,,,0,0,0,1,0,0,0,0,0,Landbirds
Acrocephalus rimitarae,Acrocephalus,Acrocephalidae,Passeriformes,Wetland,Insessorial,26.5,Extant,,Acrocephalus rimitarae,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,Landbirds
Acrocephalus rodericanus,Acrocephalus,Acrocephalidae; Sylviidae,Passeriformes,Shrubland,Insessorial,11.8,Extant,,Acrocephalus rodericanus,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,not a migrant,14,4.4,0,0,1,0,0,1,0,,,0,0,0,1,0,0,0,0,0,Landbirds
Acrocephalus vaughani,Acrocephalus,Acrocephalidae; Sylviidae,Passeriformes,Forest,Insessorial,24.38,Extant,,Acrocephalus vaughani,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,,,,,,,,,,,Islands,1,0,0,0,1,1,0,0,0,0,Landbirds
Aegotheles savesi,Aegotheles,Aegothelidae,Caprimulgiformes,Forest,Insessorial,52,Extant,,Aegotheles savesi,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,not a migrant,12,5.4,0,0,0,0,0,1,1,Islands,1,0,0,0,1,0,0,0,0,0,Landbirds
Aerodramus bartschi,Aerodramus,Apodidae,Caprimulgiformes,Forest,Aerial,7.4,Extant,,Aerodramus bartschi,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,Landbirds
Agelaius xanthomus,Agelaius,Icteridae,Passeriformes,Wetland,Insessorial,38.4,Extant,,Agelaius xanthomus,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,not a migrant,9000,6,0,0,0,1,0,0,0,Islands,3,0,0,0,1,1,1,0,0,0,Landbirds
Alectroenas payandeei,Alectroenas,Columbidae,Columbiformes,Forest,Insessorial,165.333333333333,Extinct,Genus average,Alectroenas payandeei,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,,,,,,,,,,,,,,,,,,,,,,Landbirds
Alexandrinus eques,Alexandrinus,Psittacidae,Psittaciformes,Forest,Insessorial,163,Extant,,Alexandrinus eques,Landbirds,Volant,Yes,Birds of the World,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,Landbirds
Alopecoenas canifrons,Alopecoenas,Columbidae,Columbiformes,Forest,Terrestrial,135,Extant,,Pampusana canifrons,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,,,,,,,,,,,,,,,,,,,,,,Landbirds
Alopecoenas erythropterus,Alopecoenas,Columbidae,Columbiformes,Woodland,Terrestrial,113.19,Extant,,Pampusana erythroptera,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,,,,,,,,,,,,,,,,,,,,,,Landbirds
Alopecoenas kubaryi,Alopecoenas,Columbidae,Columbiformes,Forest,Terrestrial,162,Extant,,Pampusana kubaryi,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,not a migrant,15100,6.6,0,0,0,0,0,1,1,,,0,0,0,1,1,0,0,0,0,Landbirds
Alopecoenas salamonis,Alopecoenas,Columbidae,Columbiformes,Forest; Shrubland; Woodland,Insessorial; Terrestrial,124.845714285714,Extinct,Genus average,Pampusana salamonis,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,,,,,,,,,,,,,,,,,,,,,,Landbirds
Alopecoenas sanctaecrucis,Alopecoenas,Columbidae,Columbiformes,Forest,Terrestrial,171,Extant,,Pampusana sanctaecrucis,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,not a migrant,1700,6.6,0,0,0,0,0,1,1,,,0,0,0,1,1,0,0,0,0,Landbirds
Alopecoenas stairi,Alopecoenas,Columbidae,Columbiformes,Forest,Terrestrial,171,Extant,,Pampusana stairi,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,not a migrant,731000,6.6,0,0,0,0,0,1,1,,,0,0,0,1,0,0,0,0,0,Landbirds
Amaurocichla bocagii,Amaurocichla,Motacillidae,Passeriformes,Forest,Terrestrial,7,Extant,,Amaurocichla bocagii,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,not a migrant,390,3.6,0,0,1,0,0,0,0,,,,,,,,,,,,Landbirds
Amaurornis magnirostris,Amaurornis,Rallidae,Gruiformes,Forest,Terrestrial,250,Extant,,Amaurornis magnirostris,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,,,,,,,,,,,,,,,,,,,,,,Landbirds
Amazona agilis,Amazona,Psittacidae,Psittaciformes,Forest,Insessorial,213,Extant,,Amazona agilis,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,not a migrant,5100,12.3,0,0,0,1,0,0,0,,,0,0,0,1,1,0,0,0,0,Landbirds
Amazona collaria,Amazona,Psittacidae,Psittaciformes,Forest,Insessorial,187,Extant,,Amazona collaria,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,not a migrant,7200,12.3,0,0,0,1,0,0,0,,,0,0,0,1,0,0,0,0,0,Landbirds
Amazona vittata,Amazona,Psittacidae,Psittaciformes,Forest,Insessorial,279.286666666667,Extant,,Amazona vittata,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,not a migrant,1000,12.3,0,0,0,1,0,0,0,Islands,1,0,0,0,1,0,1,0,0,0,Landbirds
Amytornis woodwardi,Amytornis,Maluridae,Passeriformes,Rock,Terrestrial,35.0666666666667,Extant,,Amytornis woodwardi,Landbirds,Volant,No,Sayol et al. 2020 Sci Adv,not a migrant,6200,9.7,0,0,0,0,0,1,1,,,0,0,0,0,1,0,0,0,0,Landbirds
Anas eatoni,Anas,Anatidae,Anseriformes,Wetland,Aquatic,944.613333333333,Extant,,Anas eatoni,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,not a migrant,169000,6.6,0,0,1,0,0,0,0,,,0,0,0,0,1,1,0,0,0,Landbirds
Anas laysanensis,Anas,Anatidae,Anseriformes,Wetland,Aquatic,843.413333333333,Extant,,Anas laysanensis,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,not a migrant,2,6.5,0,0,0,0,0,0,1,Islands,3,0,0,1,0,0,0,0,0,0,Landbirds
Anas melleri,Anas,Anatidae,Anseriformes,Wetland,Aquatic,959.213333333333,Extant,,Anas melleri,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,not a migrant,261000,6.6,0,0,1,0,0,0,0,Islands,2,0,0,1,0,0,1,0,0,0,Landbirds
Anas nesiotis,Anas,Anatidae,Anseriformes,Wetland,Aquatic,499.093333333333,Extant,,Anas nesiotis,Landbirds,Flightless,Yes,Sayol et al. 2020 Sci Adv,not a migrant,180,6.6,0,0,0,0,0,1,1,Islands,3,,,,,,,,,,Flightless Landbirds
Anas wyvilliana,Anas,Anatidae,Anseriformes,Riverine,Generalist,843.413333333333,Extant,,Anas wyvilliana,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,not a migrant,45900,6.9,0,0,0,0,0,0,1,Islands,5,0,0,1,0,0,0,0,0,0,Landbirds
Anthornis melanocephala,Anthornis,Meliphagidae,Passeriformes,Forest,Insessorial,26.9066666666667,Extinct,Genus average,Anthornis melanocephala,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,,,,,,,,,,,,,,,,,,,,,,Landbirds
Apalopteron familiare,Apalopteron,Zosteropidae,Passeriformes,Forest,Insessorial,15,Extant,,Apalopteron familiare,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,not a migrant,130,4.4,0,1,0,0,0,0,0,,,0,0,0,1,0,0,0,0,0,Landbirds
Aphrastura masafuerae,Aphrastura,Furnariidae,Passeriformes,Forest,Insessorial,12.2,Extant,,Aphrastura masafuerae,Landbirds,Volant,Yes,Birds of the World,,,,,,,,,,,Islands,1,,,,,,,,,,Landbirds
Aplonis cinerascens,Aplonis,Sturnidae,Passeriformes,Forest,Insessorial,82.9,Extant,,Aplonis cinerascens,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,not a migrant,32,4.1,0,0,0,0,0,1,1,,,0,0,0,1,0,0,0,0,0,Landbirds
Aplonis corvina,Aplonis,Sturnidae,Passeriformes,Forest; Shrubland,Insessorial,77.28828125,Extinct,Genus average,Aplonis corvina,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,,,,,,,,,,,,,,,,,,,,,,Landbirds
Aplonis fusca,Aplonis,Sturnidae,Passeriformes,Forest; Shrubland,Insessorial,77.28828125,Extinct,Genus average,Aplonis fusca,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,Landbirds
Aplonis mavornata,Aplonis,Sturnidae,Passeriformes,Forest; Shrubland,Insessorial,77.28828125,Extinct,Genus average,Aplonis mavornata,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,,,,,,,,,,,,,,,,,,,,,,Landbirds
Aplonis pelzelni,Aplonis,Sturnidae,Passeriformes,Forest,Insessorial,47,Extant,,Aplonis pelzelni,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,not a migrant,110,4.1,0,0,0,0,0,1,1,Islands,1,0,0,0,1,0,0,0,0,0,Landbirds
Aplonis santovestris,Aplonis,Sturnidae,Passeriformes,Forest,Insessorial,68.6733333333333,Extant,,Aplonis santovestris,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,not a migrant,450,4.1,0,0,0,0,0,1,1,,,0,0,0,1,0,0,0,0,0,Landbirds
Aplonis ulietensis,Aplonis,Sturnidae,Passeriformes,Forest; Shrubland,Insessorial,77.28828125,Extinct,Genus average,Aplonis ulietensis,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,,,,,,,,,,,,,,,,,,,,,,Landbirds
Apteryx mantelli,Apteryx,Apterygidae,Apterygiformes,Forest,Terrestrial,2320.50666666667,Extant,,Apteryx mantelli,Landbirds,Flightless,Yes,Sayol et al. 2020 Sci Adv,not a migrant,157000,8.8,0,0,0,0,0,1,0,Islands,4,0,0,0,0,0,0,1,0,0,Flightless Landbirds
Ardenna carneipes,Ardenna,Procellariidae,Procellariiformes,Marine,Aerial,609,Extant,,Ardenna carneipes,Seabirds,Volant,No,Sayol et al. 2020 Sci Adv,full migrant,188000000,18.3,1,1,1,1,1,1,1,,,0,0,0,0,0,0,1,0,0,Seabirds
Ardenna creatopus,Ardenna,Procellariidae,Procellariiformes,Marine,Generalist,743.995,Extant,,Ardenna creatopus,Seabirds,Volant,No,Sayol et al. 2020 Sci Adv,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,Seabirds
Ardenna grisea,Ardenna,Procellariidae,Procellariiformes,Marine,Generalist,787,Extant,,Ardenna grisea,Seabirds,Volant,No,Sayol et al. 2020 Sci Adv,full migrant,466000000,21.2,1,1,0,1,0,1,1,,,0,0,0,0,0,1,0,0,0,Seabirds
Ardeola idae,Ardeola,Ardeidae,Pelecaniformes,Wetland,Terrestrial,253,Extant,,Ardeola idae,Seabirds,Volant,No,Sayol et al. 2020 Sci Adv,full migrant,1050000,5,0,0,1,0,0,0,0,Islands,5,0,0,1,1,1,0,0,0,0,Seabirds
Aythya innotata,Aythya,Anatidae,Anseriformes,Wetland,Aquatic,685,Extant,,Aythya innotata,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,not a migrant,600,7.7,0,0,1,0,0,0,0,Islands,1,0,0,1,0,0,0,0,0,0,Landbirds
Bostrychia bocagei,Bostrychia,Threskiornithidae,Pelecaniformes,Forest,Terrestrial,866,Extant,,Bostrychia bocagei,Seabirds,Volant,Yes,Sayol et al. 2020 Sci Adv,not a migrant,230,10.1,0,0,1,0,0,0,0,Islands,1,0,0,0,1,0,0,0,0,0,Seabirds
Branta sandvicensis,Branta,Anatidae,Anseriformes,Shrubland,Terrestrial,2044.11333333333,Extant,,Branta sandvicensis,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,not a migrant,40500,12.3,0,0,0,0,0,0,1,,,0,0,1,0,0,0,0,0,0,Landbirds
Bulweria fallax,Bulweria,Procellariidae,Procellariiformes,Marine,Aquatic,173,Extant,,Bulweria fallax,Seabirds,Volant,No,Sayol et al. 2020 Sci Adv,full migrant,9270000,23.9,0,1,1,0,0,0,0,,,0,0,0,0,0,1,0,0,0,Seabirds
Cabalus modestus,Cabalus,Rallidae,Gruiformes,"",Terrestrial,,Extinct,Wikipedia,Cabalus modestus,Landbirds,Flightless,Yes,Sayol et al. 2020 Sci Adv,,,,,,,,,,,,,,,,,,,,,,Flightless Landbirds
Callaeas cinereus,Callaeas,Callaeatidae; Callaeidae,Passeriformes,Forest,Insessorial,225.37,Extant,,Callaeas cinereus,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,,,,,,,,,,,Islands,5,0,0,0,0,1,0,0,0,0,Landbirds
Calonectris leucomelas,Calonectris,Procellariidae,Procellariiformes,Marine,Generalist,579.993333333333,Extant,,Calonectris leucomelas,Seabirds,Volant,No,Sayol et al. 2020 Sci Adv,full migrant,45800000,19.3,1,1,0,0,1,1,1,,,0,0,0,0,0,1,0,0,0,Seabirds
Calyptophilus tertius,Calyptophilus,Calyptophilidae; Thraupidae,Passeriformes,Forest,Terrestrial,49.2,Extant,,Calyptophilus tertius,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,not a migrant,15100,3.7,0,0,0,1,0,0,0,,,0,0,0,0,1,0,0,0,0,Landbirds
Carpodacus ferreorostris,Carpodacus,Fringillidae,Passeriformes,Desert; Forest; Grassland; Rock; Shrubland,Generalist; Insessorial; Terrestrial,28.6080281690141,Extinct,Genus average,Carpodacus ferreorostris,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,,,,,,,,,,,,,,,,,,,,,,Landbirds
Catharus bicknelli,Catharus,Turdidae,Passeriformes,Forest,Generalist,27.7933333333333,Extant,,Catharus bicknelli,Landbirds,Volant,No,Sayol et al. 2020 Sci Adv,full migrant,790000,4.2,1,0,0,1,0,0,0,,,0,0,0,1,0,0,0,0,0,Landbirds
Certhidea olivacea,Certhidea,Emberizidae; Thraupidae,Passeriformes,Shrubland,Insessorial,9.5,Extant,,Certhidea olivacea,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,not a migrant,15600,3.8,0,0,0,1,0,0,0,,,0,0,,,,,,,,Landbirds
Charadrius obscurus,Charadrius,Charadriidae,Charadriiformes,Coastal,Terrestrial,146,Extant,,Charadrius obscurus,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,not a migrant,2200,5,0,0,0,0,0,1,0,Islands,19,0,0,1,0,0,1,0,0,0,Landbirds
Charadrius sanctaehelenae,Charadrius,Charadriidae,Charadriiformes,Grassland,Terrestrial,48.7,Extant,,Charadrius sanctaehelenae,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,not a migrant,70,5.2,0,0,1,0,0,0,0,Islands,1,0,0,1,0,0,0,0,0,0,Landbirds
Charmosyna amabilis,Charmosyna,Psittacidae,Psittaciformes,Forest,Insessorial,8.54,Extant,,Charmosyna amabilis,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,nomadic,37100,3.7,0,0,0,0,0,1,1,Islands,2,,,,,,,,,,Landbirds
Charmosyna diadema,Charmosyna,Psittacidae,Psittaciformes,NA,Insessorial,36.98,Extant,,Charmosyna diadema,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,,,,,,,,,,,Islands,1,0,0,0,0,1,0,0,0,1,Landbirds
Chasiempis ibidis,Chasiempis,Monarchidae,Passeriformes,Forest,Insessorial,13.1,Extant,,Chasiempis ibidis,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,not a migrant,1100,5.9,0,0,0,0,0,1,0,Islands,1,0,0,0,1,0,0,0,0,0,Landbirds
Chasiempis sclateri,Chasiempis,Monarchidae,Passeriformes,Forest,Insessorial,12.9,Extant,,Chasiempis sclateri,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,not a migrant,730,5.9,0,0,0,0,0,1,0,,,0,0,0,1,0,0,0,0,0,Landbirds
Chenonetta finschi,Chenonetta,Anatidae,Anseriformes,Wetland,Terrestrial,807.473333333333,Extinct,Genus average,Chenonetta finschi,Landbirds,Flightless,Yes,Sayol et al. 2020 Sci Adv,,,,,,,,,,,,,,,,,,,,,,Flightless Landbirds
Chlidonias albostriatus,Chlidonias,Laridae,Charadriiformes,Coastal,Aerial,94.695,Extant,,Chlidonias albostriatus,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,full migrant,161000,11,0,0,0,0,0,1,1,,,0,0,1,0,0,0,0,0,0,Landbirds
Chlorodrepanis stejnegeri,Chlorodrepanis,Fringillidae,Passeriformes,Forest,Insessorial,16.62,Extant,,Chlorodrepanis stejnegeri,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,not a migrant,380,5.5,0,0,0,0,0,1,1,,,0,0,0,1,0,0,0,0,0,Landbirds
Cinclodes antarcticus,Cinclodes,Furnariidae,Passeriformes,Coastal,Terrestrial,63.2,Extant,,Cinclodes antarcticus,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,not a migrant,32600,4.3,0,0,0,1,0,0,0,,,0,0,0,0,0,1,0,0,0,Landbirds
Cinclodes maculirostris,Cinclodes,Furnariidae,Passeriformes,Coastal,Terrestrial,63.2,Extant,,Cinclodes maculirostris,Landbirds,Volant,No,Sayol et al. 2020 Sci Adv,not a migrant,42700,4.3,0,0,0,1,0,0,0,,,0,0,,,,,,,,Landbirds
Cincloramphus grosvenori,Cincloramphus,Locustellidae,Passeriformes,NA,Terrestrial,54,Extant,,Cincloramphus grosvenori,Landbirds,Volant,Yes,Birds of the World,,,,,,,,,,,,,,,,,,,,,,Landbirds
Cincloramphus llaneae,Cincloramphus,Locustellidae,Passeriformes,Forest,Terrestrial,25.5,Extant,,Cincloramphus llaneae,Landbirds,Volant,Yes,Birds of the World,,,,,,,,,,,,,,,,,,,,,,Landbirds
Cincloramphus rufus,Cincloramphus,Locustellidae,Passeriformes,Forest,Terrestrial,26,Extant,,Cincloramphus rufus,Landbirds,Volant,Yes,Birds of the World,,,,,,,,,,,,,,,,,,,,,,Landbirds
Ciridops anna,Ciridops,Fringillidae,Passeriformes,"","",,Extinct,Wikipedia,Ciridops anna,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,,,,,,,,,,,,,,,,,,,,,,Landbirds
Cleptornis marchei,Cleptornis,Zosteropidae,Passeriformes,Forest,Insessorial,20.2,Extant,,Cleptornis marchei,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,not a migrant,400,4.4,0,0,0,0,0,1,1,Islands,3,0,0,0,1,0,0,0,0,0,Landbirds
Clytorhynchus sanctaecrucis,Clytorhynchus,Monarchidae,Passeriformes,Forest,Insessorial,55.7133333333333,Extant,,Clytorhynchus sanctaecrucis,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,,,,,,,,,,,Islands,1,,,,,,,,,,Landbirds
Coccyzus bahamensis,Coccyzus,Cuculidae,Cuculiformes,Forest,Insessorial,169.59,Extant,,Coccyzus bahamensis,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,,,,,,,,,,,,,,,,,,,,,,Landbirds
Coccyzus ferrugineus,Coccyzus,Cuculidae,Cuculiformes,Forest,Insessorial,70,Extant,,Coccyzus ferrugineus,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,full migrant,30,3.8,0,0,0,1,0,0,0,,,0,0,0,1,0,0,0,0,0,Landbirds
Coenocorypha aucklandica,Coenocorypha,Scolopacidae,Charadriiformes,Grassland,Terrestrial,108.226666666667,Extant,,Coenocorypha aucklandica,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,not a migrant,125000,5.7,0,0,0,0,0,1,0,,,0,0,1,0,0,0,0,0,0,Landbirds
Coenocorypha barrierensis,Coenocorypha,Scolopacidae,Charadriiformes,Forest; Grassland,Terrestrial,96.7725,Extinct,Genus average,Coenocorypha barrierensis,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,,,,,,,,,,,,,,,,,,,,,,Landbirds
Coenocorypha iredalei,Coenocorypha,Scolopacidae,Charadriiformes,Forest; Grassland,Terrestrial,96.7725,Extinct,Genus average,Coenocorypha iredalei,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,,,,,,,,,,,,,,,,,,,,,,Landbirds
