scientificName,assessmentId,internalTaxonId,Common_name,Synonyms_or_previous_lump,Original_rodent_attributed_IUCN,redlistCategory,redlistCriteria,Primary_causes,Rodent_primary,Rodent_only_primary,has_study,key,Rodent_attributed_final,Rodent_attribution_source
Charadrius sanctaehelenae,179182366,22693785,Saint Helena Plover,"","Rattus norvegicus, Rattus",Vulnerable,D1,Ending domestic grazing,0,0,Yes,Charadrius sanctaehelenae_Rattus norvegicus,Rattus norvegicus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.
Charmosyna amabilis,129622366,22684693,Red-throated Lorikeet,"",Rattus rattus,Critically Endangered,"C2a(i,ii); D","Rats, habitat loss",1,0,No,Charmosyna amabilis_Rattus rattus,Rattus rattus,Rodent attribution from IUCN.
Charmosyna diadema,156512185,22684689,New Caledonian Lorikeet,"",Rattus,Critically Endangered,D,Unknown,0,0,No,Charmosyna diadema_Rattus rattus,Rattus rattus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.
Charmosyna diadema,156512185,22684689,New Caledonian Lorikeet,"",Rattus,Critically Endangered,D,Unknown,0,0,No,Charmosyna diadema_Rattus norvegicus,Rattus norvegicus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.
Charmosyna diadema,156512185,22684689,New Caledonian Lorikeet,"",Rattus,Critically Endangered,D,Unknown,0,0,No,Charmosyna diadema_Rattus exulans,Rattus exulans,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.
Chasiempis ibidis,95133622,22736423,Oahu Elepaio,Chasiempis sandwichensis,Rattus rattus,Endangered,"B1ab(i,ii,iii,iv,v)","Rats, habitat loss",1,0,Yes,Chasiempis ibidis_Rattus rattus,Rattus rattus,Rodent attribution from IUCN.
Chasiempis sclateri,122918684,22736432,Kauai Elepaio,Chasiempis sandwichensis,Rattus,Vulnerable,D2,Weather extreme,0,0,Yes,Chasiempis sclateri_Rattus rattus,Rattus rattus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.
Chasiempis sclateri,122918684,22736432,Kauai Elepaio,Chasiempis sandwichensis,Rattus,Vulnerable,D2,Weather extreme,0,0,Yes,Chasiempis sclateri_Rattus norvegicus,Rattus norvegicus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.
Chasiempis sclateri,122918684,22736432,Kauai Elepaio,Chasiempis sandwichensis,Rattus,Vulnerable,D2,Weather extreme,0,0,Yes,Chasiempis sclateri_Rattus exulans,Rattus exulans,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.
Chenonetta finschi,119205634,62239833,Finsch's Duck,"",Rattus exulans,Extinct,"","Rats, human hunting",1,0,No,Chenonetta finschi_Rattus exulans,Rattus exulans,Rodent attribution from IUCN.
Chlidonias albostriatus,131931677,22694750,Black-fronted Tern,"Hydrochelidon albostriata, Sterna albostriata","Rattus rattus, Rattus norvegicus",Endangered,A2bce+3bce+4bce; C2a(ii),"Rats, mustela, cats, hedgehogs, possums, dogs, introduced birds, predation native birds",1,0,Yes,Chlidonias albostriatus_Rattus rattus,Rattus rattus,Rodent attribution from IUCN.
Chlidonias albostriatus,131931677,22694750,Black-fronted Tern,"Hydrochelidon albostriata, Sterna albostriata","Rattus rattus, Rattus norvegicus",Endangered,A2bce+3bce+4bce; C2a(ii),"Rats, mustela, cats, hedgehogs, possums, dogs, introduced birds, predation native birds",1,0,Yes,Chlidonias albostriatus_Rattus norvegicus,Rattus norvegicus,Rodent attribution from IUCN.
Chlorodrepanis stejnegeri,94682058,22720756,Kauai Amakihi,"Hemignathus kauaiensis, Viridonia stejnegeri ssp. Stejnegeri",Rodentia,Vulnerable,D2,Unknown,0,0,No,Chlorodrepanis stejnegeri_Rattus rattus,Rattus rattus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.
Chlorodrepanis stejnegeri,94682058,22720756,Kauai Amakihi,"Hemignathus kauaiensis, Viridonia stejnegeri ssp. Stejnegeri",Rodentia,Vulnerable,D2,Unknown,0,0,No,Chlorodrepanis stejnegeri_Rattus norvegicus,Rattus norvegicus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.
Chlorodrepanis stejnegeri,94682058,22720756,Kauai Amakihi,"Hemignathus kauaiensis, Viridonia stejnegeri ssp. Stejnegeri",Rodentia,Vulnerable,D2,Unknown,0,0,No,Chlorodrepanis stejnegeri_Rattus exulans,Rattus exulans,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.
Chlorodrepanis stejnegeri,94682058,22720756,Kauai Amakihi,"Hemignathus kauaiensis, Viridonia stejnegeri ssp. Stejnegeri",Rodentia,Vulnerable,D2,Unknown,0,0,No,Chlorodrepanis stejnegeri_Mus musculus,Mus musculus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.
Cinclodes antarcticus,93860479,103670928,Blackish Cinclodes,"",Rattus,Near Threatened,A2e+3e+4e,"Rats, cats",1,0,Yes,Cinclodes antarcticus_Rattus norvegicus,Rattus norvegicus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.
Cinclodes maculirostris,192074027,103670944,Black Cinclodes,"",Rattus,Near Threatened,A2ace+3ce+4ace,"Rats, cats",1,0,Yes,Cinclodes maculirostris_Rattus norvegicus,Rattus norvegicus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.
Cincloramphus grosvenori,152668395,22715529,New Britain Thicketbird,Megalurulus grosvenori,Rattus,Vulnerable,D1,Unknown,0,0,No,Cincloramphus grosvenori_Rattus rattus,Rattus rattus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.
Cincloramphus grosvenori,152668395,22715529,New Britain Thicketbird,Megalurulus grosvenori,Rattus,Vulnerable,D1,Unknown,0,0,No,Cincloramphus grosvenori_Rattus praetor,Rattus praetor,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.
Cincloramphus llaneae,152667776,22715535,Bougainville Thicketbird,"Cichlornis llaneae, Megalurulus llaneae",Rattus,Near Threatened,C2a(ii),Unknown,0,0,No,Cincloramphus llaneae_Rattus rattus,Rattus rattus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.
Cincloramphus llaneae,152667776,22715535,Bougainville Thicketbird,"Cichlornis llaneae, Megalurulus llaneae",Rattus,Near Threatened,C2a(ii),Unknown,0,0,No,Cincloramphus llaneae_Rattus exulans,Rattus exulans,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.
Cincloramphus rufus,178598253,22715555,Long-legged Thicketbird,"Megalurulus rufus, Trichocichla rufa",Rattus rattus,Endangered,D,Unknown,0,0,No,Cincloramphus rufus_Rattus rattus,Rattus rattus,Rodent attribution from IUCN.
Ciridops anna,94686158,22720840,Ula-ai-hawane,"",Rattus,Extinct,"",Unknown,0,0,No,Ciridops anna_Rattus rattus,Rattus rattus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.
Ciridops anna,94686158,22720840,Ula-ai-hawane,"",Rattus,Extinct,"",Unknown,0,0,No,Ciridops anna_Rattus norvegicus,Rattus norvegicus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.
Ciridops anna,94686158,22720840,Ula-ai-hawane,"",Rattus,Extinct,"",Unknown,0,0,No,Ciridops anna_Rattus exulans,Rattus exulans,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.
Cleptornis marchei,216247839,22714282,Golden White-eye,"",Rattus,Endangered,"B1ab(iii,v)+2ab(iii,v)",Habitat loss,0,0,Yes,Cleptornis marchei_Rattus norvegicus,Rattus norvegicus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.
Cleptornis marchei,216247839,22714282,Golden White-eye,"",Rattus,Endangered,"B1ab(iii,v)+2ab(iii,v)",Habitat loss,0,0,Yes,Cleptornis marchei_Rattus exulans,Rattus exulans,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.
Clytorhynchus sanctaecrucis,209518471,22734762,Nendo Shrikebill,"",Rattus rattus,Endangered,C2a(ii),Habitat loss,0,0,No,Clytorhynchus sanctaecrucis_Rattus rattus,Rattus rattus,Rodent attribution from IUCN.
Coccyzus bahamensis,178654750,22728160,Bahama Lizard-cuckoo,"",Rattus,Near Threatened,C2a(i),Unknown,0,0,No,Coccyzus bahamensis_Rattus rattus,Rattus rattus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.
Coccyzus bahamensis,178654750,22728160,Bahama Lizard-cuckoo,"",Rattus,Near Threatened,C2a(i),Unknown,0,0,No,Coccyzus bahamensis_Rattus norvegicus,Rattus norvegicus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.
Coccyzus ferrugineus,178653886,22684340,Cocos Cuckoo,"",Rattus,Vulnerable,D1+2,Unknown,0,0,No,Coccyzus ferrugineus_Rattus exulans,Rattus exulans,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.
Coenocorypha aucklandica,182916100,22727499,Auckland Snipe,"",Rattus exulans,Near Threatened,D2,"Rats, cats, pigs",1,0,No,Coenocorypha aucklandica_Rattus exulans,Rattus exulans,Rodent attribution from IUCN.
Coenocorypha barrierensis,95191768,62178398,North Island Snipe,"",Rattus exulans,Extinct,"","Rats, cats",1,0,No,Coenocorypha barrierensis_Rattus exulans,Rattus exulans,Rodent attribution from IUCN.
Coenocorypha iredalei,94951415,22727515,South Island Snipe,Coenocorypha aucklandica,"Rattus rattus, Rattus exulans",Extinct,"",Rats,1,1,Yes,Coenocorypha iredalei_Rattus rattus,Rattus rattus,Rodent attribution from IUCN.
Coenocorypha iredalei,94951415,22727515,South Island Snipe,Coenocorypha aucklandica,"Rattus rattus, Rattus exulans",Extinct,"",Rats,1,1,Yes,Coenocorypha iredalei_Rattus exulans,Rattus exulans,Rodent attribution from IUCN.
Coenocorypha pusilla,182890601,22693137,Chatham Islands Snipe,"",Rattus,Vulnerable,D2,"Rats, cats",1,0,No,Coenocorypha pusilla_Rattus rattus,Rattus rattus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.
Coenocorypha pusilla,182890601,22693137,Chatham Islands Snipe,"",Rattus,Vulnerable,D2,"Rats, cats",1,0,No,Coenocorypha pusilla_Rattus norvegicus,Rattus norvegicus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.
Coenocorypha pusilla,182890601,22693137,Chatham Islands Snipe,"",Rattus,Vulnerable,D2,"Rats, cats",1,0,No,Coenocorypha pusilla_Rattus exulans,Rattus exulans,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.
Columba junoniae,111025271,22690122,White-tailed Laurel-pigeon,"",Rattus rattus,Near Threatened,B1b(iii)+2b(iii),"Rats, habitat loss",1,0,Yes,Columba junoniae_Rattus rattus,Rattus rattus,Rodent attribution from IUCN.
Columba thiriouxi,119206067,62254534,Mauritius Woodpigeon,"",Rattus rattus,Extinct,"","Rats, human hunting, habitat loss",1,0,No,Columba thiriouxi_Rattus rattus,Rattus rattus,Rodent attribution from IUCN.
Columba versicolor,93265793,22690218,Bonin Woodpigeon,"",Rattus,Extinct,"",Habitat loss,0,0,No,Columba versicolor_Rattus rattus,Rattus rattus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.
Columba versicolor,93265793,22690218,Bonin Woodpigeon,"",Rattus,Extinct,"",Habitat loss,0,0,No,Columba versicolor_Rattus norvegicus,Rattus norvegicus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.
Copsychus sechellarum,179276878,22709978,Seychelles Magpie-robin,"","Rattus rattus, Rattus norvegicus",Endangered,D,"Rats, cats, habitat loss",1,0,Yes,Copsychus sechellarum_Rattus rattus,Rattus rattus,Rodent attribution from IUCN.
Copsychus sechellarum,179276878,22709978,Seychelles Magpie-robin,"","Rattus rattus, Rattus norvegicus",Endangered,D,"Rats, cats, habitat loss",1,0,Yes,Copsychus sechellarum_Rattus norvegicus,Rattus norvegicus,Rodent attribution from IUCN.
Coracopsis barklyi,179281607,22727890,Seychelles Parrot,"",Rattus,Vulnerable,D1,"Rats, cats, human hunting, fire",1,0,No,Coracopsis barklyi_Rattus rattus,Rattus rattus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.
Coracopsis barklyi,179281607,22727890,Seychelles Parrot,"",Rattus,Vulnerable,D1,"Rats, cats, human hunting, fire",1,0,No,Coracopsis barklyi_Rattus norvegicus,Rattus norvegicus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.
Corvus hawaiiensis,94048187,22706052,Hawaiian Crow,"",Rattus,Extinct in the Wild,"",Habitat loss,0,0,No,Corvus hawaiiensis_Rattus rattus,Rattus rattus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.
Corvus hawaiiensis,94048187,22706052,Hawaiian Crow,"",Rattus,Extinct in the Wild,"",Habitat loss,0,0,No,Corvus hawaiiensis_Rattus norvegicus,Rattus norvegicus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.
Corvus hawaiiensis,94048187,22706052,Hawaiian Crow,"",Rattus,Extinct in the Wild,"",Habitat loss,0,0,No,Corvus hawaiiensis_Rattus exulans,Rattus exulans,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.
Coturnix novaezelandiae,92795779,22678955,New Zealand Quail,"",Rattus,Extinct,"",Disease,0,0,Yes,Coturnix novaezelandiae_Rattus rattus,Rattus rattus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.
Coturnix novaezelandiae,92795779,22678955,New Zealand Quail,"",Rattus,Extinct,"",Disease,0,0,Yes,Coturnix novaezelandiae_Rattus norvegicus,Rattus norvegicus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.
Coturnix novaezelandiae,92795779,22678955,New Zealand Quail,"",Rattus,Extinct,"",Disease,0,0,Yes,Coturnix novaezelandiae_Rattus exulans,Rattus exulans,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.
Coua delalandei,93016420,22684143,Snail-eating Coua,"",Rattus,Extinct,"",Habitat loss,0,0,No,Coua delalandei_Rattus rattus,Rattus rattus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.
Coua delalandei,93016420,22684143,Snail-eating Coua,"",Rattus,Extinct,"",Habitat loss,0,0,No,Coua delalandei_Rattus norvegicus,Rattus norvegicus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.
Crithagra concolor,176571427,22720310,Sao Tome Grosbeak,"Amblyospiza concolor, Neospiza concolor",Rattus rattus,Critically Endangered,C2a(ii),Habitat loss,0,0,No,Crithagra concolor_Rattus rattus,Rattus rattus,Rodent attribution from IUCN.
Cyanolimnas cerverai,178679046,22692737,Zapata Rail,"",Rattus,Critically Endangered,C2a(ii),Unknown,0,0,No,Cyanolimnas cerverai_Rattus rattus,Rattus rattus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.
Cyanolimnas cerverai,178679046,22692737,Zapata Rail,"",Rattus,Critically Endangered,C2a(ii),Unknown,0,0,No,Cyanolimnas cerverai_Rattus norvegicus,Rattus norvegicus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.
Cyanoramphus auriceps,213764778,22685175,Yellow-fronted Parakeet,"",Rattus,Near Threatened,A2ce,"Rats, cats, stoats, habitat loss",1,0,Yes,Cyanoramphus auriceps_Rattus rattus,Rattus rattus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.
Cyanoramphus auriceps,213764778,22685175,Yellow-fronted Parakeet,"",Rattus,Near Threatened,A2ce,"Rats, cats, stoats, habitat loss",1,0,Yes,Cyanoramphus auriceps_Rattus norvegicus,Rattus norvegicus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.
Cyanoramphus auriceps,213764778,22685175,Yellow-fronted Parakeet,"",Rattus,Near Threatened,A2ce,"Rats, cats, stoats, habitat loss",1,0,Yes,Cyanoramphus auriceps_Rattus exulans,Rattus exulans,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.
Cyanoramphus malherbi,130890144,22724562,Malherbe's Parakeet,"",Rattus,Critically Endangered,A2bce,"Rats, stoats",1,0,No,Cyanoramphus malherbi_Rattus rattus,Rattus rattus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.
Cyanoramphus malherbi,130890144,22724562,Malherbe's Parakeet,"",Rattus,Critically Endangered,A2bce,"Rats, stoats",1,0,No,Cyanoramphus malherbi_Rattus norvegicus,Rattus norvegicus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.
Cyanoramphus malherbi,130890144,22724562,Malherbe's Parakeet,"",Rattus,Critically Endangered,A2bce,"Rats, stoats",1,0,No,Cyanoramphus malherbi_Rattus exulans,Rattus exulans,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.
Cyanoramphus unicolor,213655486,22685162,Antipodes Parakeet,"","Rattus, Mus musculus",Vulnerable,D2,"Rats, cats, mustelids",1,0,No,Cyanoramphus unicolor_Mus musculus,Mus musculus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.
Dendrocygna arborea,154611660,22679770,West Indian Whistling-duck,"",Rattus,Near Threatened,A3c,"Rats, mongoose, raccoons, cats, dogs, habitat loss, human hunting",0,0,Yes,Dendrocygna arborea_Rattus rattus,Rattus rattus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.
Dendrocygna arborea,154611660,22679770,West Indian Whistling-duck,"",Rattus,Near Threatened,A3c,"Rats, mongoose, raccoons, cats, dogs, habitat loss, human hunting",0,0,Yes,Dendrocygna arborea_Rattus norvegicus,Rattus norvegicus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.
Dicrurus aldabranus,94098323,22706943,Aldabra Drongo,"",Rattus,Near Threatened,D1+2,"Rats, predation native birds",1,0,Yes,Dicrurus aldabranus_Rattus rattus,Rattus rattus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.
Dicrurus aldabranus,94098323,22706943,Aldabra Drongo,"",Rattus,Near Threatened,D1+2,"Rats, predation native birds",1,0,Yes,Dicrurus aldabranus_Rattus norvegicus,Rattus norvegicus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.
Dicrurus fuscipennis,94098582,22706947,Comoro Drongo,"",Rattus,Endangered,B1ab(iii);D,Unknown,0,0,No,Dicrurus fuscipennis_Rattus rattus,Rattus rattus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.
Didunculus strigirostris,156841404,22691890,Tooth-billed Pigeon,"","Rattus exulans, Rattus rattus",Critically Endangered,C2a(i),Human hunting,0,0,No,Didunculus strigirostris_Rattus exulans,Rattus exulans,Rodent attribution from IUCN.
Didunculus strigirostris,156841404,22691890,Tooth-billed Pigeon,"","Rattus exulans, Rattus rattus",Critically Endangered,C2a(i),Human hunting,0,0,No,Didunculus strigirostris_Rattus rattus,Rattus rattus,Rodent attribution from IUCN.
Diomedea dabbenena,132657527,22728364,Tristan Albatross,Diomedea chionoptera,"Rattus, Mus musculus",Critically Endangered,A4ade,Fishing-bycatch,0,0,Yes,Diomedea dabbenena_Rattus rattus,Rattus rattus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.
Diomedea dabbenena,132657527,22728364,Tristan Albatross,Diomedea chionoptera,"Rattus, Mus musculus",Critically Endangered,A4ade,Fishing-bycatch,0,0,Yes,Diomedea dabbenena_Rattus norvegicus,Rattus norvegicus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.
Diomedea dabbenena,132657527,22728364,Tristan Albatross,Diomedea chionoptera,"Rattus, Mus musculus",Critically Endangered,A4ade,Fishing-bycatch,0,0,Yes,Diomedea dabbenena_Mus musculus,Mus musculus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.
Diomedea exulans,132640680,22698305,Wandering Albatross,"",Mus musculus,Vulnerable,A4bd,Fishing-bycatch,0,0,Yes,Diomedea exulans_Mus musculus,Mus musculus,Rodent attribution from IUCN.
Drepanis coccinea,179228794,22720844,Iiwi,Vestiaria coccinea,Rattus,Vulnerable,A3bce+4bce,Disease,0,0,Yes,Drepanis coccinea_Rattus rattus,Rattus rattus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.
Drepanis coccinea,179228794,22720844,Iiwi,Vestiaria coccinea,Rattus,Vulnerable,A3bce+4bce,Disease,0,0,Yes,Drepanis coccinea_Rattus norvegicus,Rattus norvegicus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.
Drepanis coccinea,179228794,22720844,Iiwi,Vestiaria coccinea,Rattus,Vulnerable,A3bce+4bce,Disease,0,0,Yes,Drepanis coccinea_Rattus exulans,Rattus exulans,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.
Drepanis funerea,94686803,22720852,Black Mamo,"",Rattus,Extinct,"","Rats, mongoose, introduced herbivores",1,0,No,Drepanis funerea_Rattus rattus,Rattus rattus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.
Drepanis funerea,94686803,22720852,Black Mamo,"",Rattus,Extinct,"","Rats, mongoose, introduced herbivores",1,0,No,Drepanis funerea_Rattus norvegicus,Rattus norvegicus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.
Drepanis funerea,94686803,22720852,Black Mamo,"",Rattus,Extinct,"","Rats, mongoose, introduced herbivores",1,0,No,Drepanis funerea_Rattus exulans,Rattus exulans,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.
Dryolimnas augusti,119207514,62258591,Reunion Rail,"",Rattus rattus,Extinct,"","Rats, cats, human hunting",1,0,No,Dryolimnas augusti_Rattus rattus,Rattus rattus,Rodent attribution from IUCN.
Ducula aurorae,118663538,22691668,Polynesian Imperial-pigeon,"",Rattus rattus,Endangered,"B1ab(ii,iii,v)+2ab(ii,iii,v); C2a(ii)","Habitat loss, human hunting",0,0,Yes,Ducula aurorae_Rattus rattus,Rattus rattus,Rodent attribution from IUCN.
Ducula galeata,93320826,22691674,Nukuhiva Imperial-pigeon,"",Rattus,Endangered,D,Hunting,0,0,Yes,Ducula galeata_Rattus rattus,Rattus rattus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.
Ducula galeata,93320826,22691674,Nukuhiva Imperial-pigeon,"",Rattus,Endangered,D,Hunting,0,0,Yes,Ducula galeata_Rattus exulans,Rattus exulans,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.
Ducula pickeringii,93322157,22691710,Grey Imperial-pigeon,"",Rattus rattus,Vulnerable,"B1ab(ii,iii,iv,v)",Habitat loss,0,0,No,Ducula pickeringii_Rattus rattus,Rattus rattus,Rodent attribution from IUCN.
Dysmorodrepanis munroi,111776369,22720738,Lanai Hookbill,"",Rattus,Extinct,"","Rats, habitat loss, cats",1,0,No,Dysmorodrepanis munroi_Rattus rattus,Rattus rattus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.
Dysmorodrepanis munroi,111776369,22720738,Lanai Hookbill,"",Rattus,Extinct,"","Rats, habitat loss, cats",1,0,No,Dysmorodrepanis munroi_Rattus norvegicus,Rattus norvegicus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.
Dysmorodrepanis munroi,111776369,22720738,Lanai Hookbill,"",Rattus,Extinct,"","Rats, habitat loss, cats",1,0,No,Dysmorodrepanis munroi_Rattus exulans,Rattus exulans,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.
Elaenia ridleyana,93722423,22699268,Noronha Elaenia,"",Rattus,Vulnerable,D1,Habitat loss,0,0,No,Elaenia ridleyana_Rattus rattus,Rattus rattus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.
Elaenia ridleyana,93722423,22699268,Noronha Elaenia,"",Rattus,Vulnerable,D1,Habitat loss,0,0,No,Elaenia ridleyana_Rattus norvegicus,Rattus norvegicus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.
Emberiza jankowskii,132004685,22720905,Jankowski's Bunting,"",Rattus,Endangered,A2bc+3bc+4bc,Habitat loss,0,0,Yes,Emberiza jankowskii_Rattus rattus,Rattus rattus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.
Emberiza jankowskii,132004685,22720905,Jankowski's Bunting,"",Rattus,Endangered,A2bc+3bc+4bc,Habitat loss,0,0,Yes,Emberiza jankowskii_Rattus norvegicus,Rattus norvegicus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.
Emberiza socotrana,118847061,22720940,Socotra Bunting,"",Rattus rattus,Near Threatened,"B1ab(ii,iii,v); C2a(ii)",Unknown,0,0,No,Emberiza socotrana_Rattus rattus,Rattus rattus,Rodent attribution from IUCN.
Eudyptes chrysolophus,184720991,22697793,Macaroni Penguin,"","Rattus, Mus musculus",Vulnerable,A2bce+3bce+4bce,Unknown,0,0,No,Eudyptes chrysolophus_Rattus norvegicus,Rattus norvegicus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.
Eudyptes chrysolophus,184720991,22697793,Macaroni Penguin,"","Rattus, Mus musculus",Vulnerable,A2bce+3bce+4bce,Unknown,0,0,No,Eudyptes chrysolophus_Mus musculus,Mus musculus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.
Eudyptes moseleyi,184698049,22734408,Northern Rockhopper Penguin,"","Rattus rattus, Rattus norvegicus, Mus musculus",Endangered,A2acde+3cde+4acde,Unknown,0,0,Yes,Eudyptes moseleyi_Rattus rattus,Rattus rattus,Rodent attribution from IUCN.
Eudyptes moseleyi,184698049,22734408,Northern Rockhopper Penguin,"","Rattus rattus, Rattus norvegicus, Mus musculus",Endangered,A2acde+3cde+4acde,Unknown,0,0,Yes,Eudyptes moseleyi_Rattus norvegicus,Rattus norvegicus,Rodent attribution from IUCN.
Eudyptes moseleyi,184698049,22734408,Northern Rockhopper Penguin,"","Rattus rattus, Rattus norvegicus, Mus musculus",Endangered,A2acde+3cde+4acde,Unknown,0,0,Yes,Eudyptes moseleyi_Mus musculus,Mus musculus,Rodent attribution from IUCN.
Eudyptes pachyrhynchus,182279725,22697776,Fiordland Penguin,"",Rattus,Near Threatened,A2bce+3bce+4bce; B2b(v),Unknown,0,0,No,Eudyptes pachyrhynchus_Rattus rattus,Rattus rattus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.
Eudyptes pachyrhynchus,182279725,22697776,Fiordland Penguin,"",Rattus,Near Threatened,A2bce+3bce+4bce; B2b(v),Unknown,0,0,No,Eudyptes pachyrhynchus_Rattus norvegicus,Rattus norvegicus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.
Eudyptes pachyrhynchus,182279725,22697776,Fiordland Penguin,"",Rattus,Near Threatened,A2bce+3bce+4bce; B2b(v),Unknown,0,0,No,Eudyptes pachyrhynchus_Rattus exulans,Rattus exulans,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.
Eunymphicus cornutus,93062058,22685185,Horned Parakeet,"",Rattus rattus,Vulnerable,C2a(ii),Habitat loss,0,0,Yes,Eunymphicus cornutus_Rattus rattus,Rattus rattus,Rodent attribution from IUCN.
Eurostopodus exul,130437059,22726340,New Caledonian Nightjar,"",Rattus,Critically Endangered,D,Unknown,0,0,No,Eurostopodus exul_Rattus rattus,Rattus rattus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.
